               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10948,            0.042034,            0.041526,           0.0005487,            0.031213,           0.0003557,          9.2184e-05,             0.10238,            0.033562,            0.036487,            0.070147,            0.003317,            0.003317
                   1,             0.10457,            0.043221,            0.031076,          0.00068156,            0.057267,          0.00055938,          0.00014523,             0.10137,            0.034486,             0.02476,            0.040114,           0.0066174,           0.0066174
                   2,             0.10107,            0.038872,            0.026092,          0.00077683,            0.064846,          0.00075922,          0.00017685,             0.10434,            0.051746,            0.023348,            0.010048,           0.0098848,           0.0098848
                   3,            0.092504,            0.037401,            0.021947,             0.53488,            0.030593,            0.012968,           0.0035116,             0.10015,             0.04041,            0.031041,           0.0098515,           0.0098515,           0.0098515
                   4,            0.083132,            0.034392,             0.01711,              0.3889,             0.10193,            0.071519,            0.022962,             0.07706,            0.027645,            0.013215,           0.0098515,           0.0098515,           0.0098515
                   5,            0.076527,            0.031822,            0.014366,              0.4261,             0.08496,            0.071616,              0.0237,            0.077632,            0.027875,             0.01584,            0.009802,            0.009802,            0.009802
                   6,            0.072774,            0.031429,            0.012683,             0.40745,              0.1014,            0.081748,            0.029138,            0.077289,            0.035542,            0.016202,           0.0097525,           0.0097525,           0.0097525
                   7,            0.069571,            0.030801,            0.011475,              0.4371,             0.13031,             0.10723,            0.039553,            0.070953,            0.030099,             0.01367,            0.009703,            0.009703,            0.009703
                   8,            0.066918,            0.030506,             0.01088,             0.48931,             0.16204,             0.14425,            0.055584,            0.068618,            0.028845,            0.013167,           0.0096535,           0.0096535,           0.0096535
                   9,            0.065205,            0.029513,           0.0098074,             0.57098,             0.21701,             0.21789,            0.085863,            0.060995,            0.025687,           0.0084571,            0.009604,            0.009604,            0.009604
                  10,            0.063667,            0.028625,           0.0096574,             0.57828,             0.21032,             0.21617,            0.080895,            0.065635,            0.025921,            0.012714,           0.0095545,           0.0095545,           0.0095545
                  11,            0.062505,            0.028999,           0.0091688,              0.6578,             0.25116,             0.27337,             0.11283,            0.056309,            0.023035,           0.0080978,            0.009505,            0.009505,            0.009505
                  12,            0.060483,            0.028185,            0.008779,             0.64853,             0.28341,             0.29468,             0.12218,            0.054399,            0.022069,           0.0070793,           0.0094555,           0.0094555,           0.0094555
                  13,            0.059717,            0.028048,           0.0083839,             0.71723,             0.29349,             0.34035,             0.14133,            0.052158,            0.021635,           0.0062479,            0.009406,            0.009406,            0.009406
                  14,            0.058547,            0.027755,           0.0080087,             0.68574,             0.30116,             0.33452,             0.14269,            0.052813,            0.021642,           0.0062125,           0.0093565,           0.0093565,           0.0093565
