               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10788,            0.042411,            0.037659,          0.00059302,            0.049808,          0.00055537,          0.00014743,             0.10201,             0.03243,             0.03035,            0.070147,            0.003317,            0.003317
                   1,               0.104,            0.042722,            0.028409,          0.00066583,            0.055943,          0.00063028,          0.00017396,             0.10161,            0.032173,            0.024528,            0.040114,           0.0066174,           0.0066174
                   2,            0.099997,            0.038566,            0.025776,             0.51995,            0.013234,           0.0046153,           0.0014238,              0.1005,            0.049091,            0.021535,            0.010048,           0.0098848,           0.0098848
                   3,            0.090179,            0.036888,            0.020571,             0.54895,            0.032579,            0.016674,           0.0044633,            0.091556,            0.034326,            0.020916,           0.0098515,           0.0098515,           0.0098515
                   4,            0.082219,            0.034114,            0.016885,             0.35677,             0.10415,            0.060324,            0.019006,            0.076661,            0.028319,            0.013645,           0.0098515,           0.0098515,           0.0098515
                   5,            0.076355,            0.032084,             0.01427,             0.45572,             0.18486,             0.13914,            0.047652,            0.069075,            0.024947,            0.011289,            0.009802,            0.009802,            0.009802
                   6,            0.072933,            0.031679,            0.012836,             0.46423,             0.12285,            0.099438,            0.033376,            0.076222,            0.027995,            0.014249,           0.0097525,           0.0097525,           0.0097525
                   7,            0.070531,             0.03117,            0.011871,             0.68316,            0.076653,            0.091755,            0.033307,            0.078722,            0.031191,            0.017188,            0.009703,            0.009703,            0.009703
                   8,             0.06765,            0.030874,            0.011217,             0.54751,             0.23855,              0.2176,            0.080547,            0.061932,            0.024083,           0.0081913,           0.0096535,           0.0096535,           0.0096535
                   9,            0.066246,            0.029976,            0.010127,             0.61645,             0.24999,               0.257,             0.10312,            0.057801,            0.023204,           0.0076774,            0.009604,            0.009604,            0.009604
                  10,            0.064175,            0.029224,            0.009874,             0.58586,             0.25617,             0.25548,            0.098188,            0.059472,            0.023774,           0.0078518,           0.0095545,           0.0095545,           0.0095545
                  11,            0.063399,            0.029491,           0.0094067,             0.61999,             0.25677,             0.27385,             0.10924,            0.057672,            0.023147,           0.0073117,            0.009505,            0.009505,            0.009505
                  12,            0.061805,            0.028823,           0.0091083,             0.62334,             0.29059,              0.3049,             0.12277,            0.054406,            0.022967,           0.0066631,           0.0094555,           0.0094555,           0.0094555
                  13,            0.060942,            0.028661,            0.008736,             0.62711,             0.27135,             0.28621,             0.11245,            0.056817,            0.023478,           0.0073184,            0.009406,            0.009406,            0.009406
                  14,             0.06004,            0.028447,           0.0083504,             0.67118,               0.302,             0.32696,             0.13508,            0.053488,            0.022259,            0.006314,           0.0093565,           0.0093565,           0.0093565
                  15,            0.058936,            0.028056,           0.0080833,             0.69534,             0.30375,             0.33799,             0.13828,            0.051572,            0.021864,           0.0060823,            0.009307,            0.009307,            0.009307
                  16,            0.058104,             0.02782,           0.0082118,             0.66843,             0.31304,             0.33857,             0.13997,            0.051324,            0.022174,           0.0061031,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057531,             0.02761,           0.0078616,             0.62659,             0.27207,             0.28372,             0.12297,            0.053525,             0.02302,           0.0081629,            0.009208,            0.009208,            0.009208
                  18,            0.056956,            0.027722,           0.0075862,             0.67379,             0.32658,             0.35051,             0.15239,             0.04998,            0.021404,           0.0059119,           0.0091585,           0.0091585,           0.0091585
                  19,            0.056466,            0.027278,           0.0075875,             0.71736,              0.3329,             0.36743,             0.15702,             0.04945,            0.021273,           0.0058442,            0.009109,            0.009109,            0.009109
                  20,            0.055735,            0.026959,           0.0074499,             0.70048,             0.29232,             0.33166,             0.14557,            0.051391,             0.02371,           0.0065695,           0.0090595,           0.0090595,           0.0090595
                  21,            0.054936,            0.027058,           0.0071257,             0.72606,             0.35796,             0.39071,              0.1672,            0.048528,             0.02093,           0.0055608,             0.00901,             0.00901,             0.00901
                  22,            0.054581,             0.02683,           0.0071296,              0.7282,             0.35386,             0.39164,             0.17097,            0.047754,            0.020916,           0.0054225,           0.0089605,           0.0089605,           0.0089605
                  23,             0.05415,            0.026741,            0.006966,             0.72169,             0.34403,             0.38306,             0.16891,            0.048827,             0.02108,           0.0054808,            0.008911,            0.008911,            0.008911
                  24,            0.053395,            0.026616,           0.0070074,              0.7444,              0.3454,             0.39127,              0.1688,            0.048238,            0.020811,           0.0053291,           0.0088615,           0.0088615,           0.0088615
                  25,            0.053179,            0.026387,           0.0067591,             0.74511,             0.35593,             0.40641,             0.17948,            0.046493,            0.020476,            0.004921,            0.008812,            0.008812,            0.008812
                  26,            0.052339,            0.026039,           0.0064303,             0.74674,             0.37133,              0.4038,             0.17869,            0.045996,            0.020345,           0.0050054,           0.0087625,           0.0087625,           0.0087625
                  27,            0.052159,            0.025666,           0.0062752,             0.73573,             0.35463,             0.40043,             0.18065,              0.0472,            0.021034,           0.0054679,            0.008713,            0.008713,            0.008713
                  28,            0.052155,             0.02538,           0.0064558,             0.74714,             0.37824,             0.41774,             0.18931,            0.045861,            0.020359,           0.0053146,           0.0086635,           0.0086635,           0.0086635
                  29,            0.051677,            0.025607,           0.0062008,             0.73489,             0.31145,             0.36427,             0.15351,            0.050486,            0.022845,           0.0063214,            0.008614,            0.008614,            0.008614
