               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10708,            0.042517,             0.03527,           0.0004516,            0.037897,          0.00029099,           7.615e-05,             0.10227,            0.032549,            0.028159,            0.070147,            0.003317,            0.003317
                   1,             0.10379,            0.042725,            0.027882,          0.00069816,            0.058109,           0.0010051,          0.00022105,             0.10198,            0.032405,            0.023979,            0.040114,           0.0066174,           0.0066174
                   2,             0.10023,            0.038713,            0.026132,             0.51315,            0.031641,           0.0060406,           0.0021594,             0.09556,            0.029459,            0.021961,            0.010048,           0.0098848,           0.0098848
                   3,            0.094711,            0.037269,            0.023874,             0.25951,           0.0039702,           0.0017525,          0.00051816,             0.10195,            0.033862,            0.027975,           0.0098515,           0.0098515,           0.0098515
                   4,            0.088963,            0.035502,            0.020074,             0.80684,            0.042348,            0.031715,           0.0097581,            0.085385,            0.029622,            0.016393,           0.0098515,           0.0098515,           0.0098515
                   5,            0.082775,            0.033668,            0.017415,             0.55309,            0.028988,            0.017872,           0.0048598,             0.09084,            0.034931,            0.020122,            0.009802,            0.009802,            0.009802
                   6,            0.079658,            0.033085,            0.016116,              0.3691,             0.10544,            0.065706,            0.020978,            0.078034,            0.026317,            0.013144,           0.0097525,           0.0097525,           0.0097525
                   7,            0.076718,            0.032841,            0.014758,             0.39059,             0.10804,            0.067185,            0.019976,            0.080171,            0.027902,            0.013073,            0.009703,            0.009703,            0.009703
                   8,            0.074278,            0.032726,            0.013704,             0.44137,             0.15705,             0.11926,            0.044073,            0.068718,            0.026067,            0.011439,           0.0096535,           0.0096535,           0.0096535
                   9,            0.073148,            0.031757,            0.012629,               0.483,             0.12236,             0.10564,            0.038335,            0.071954,            0.027748,            0.013897,            0.009604,            0.009604,            0.009604
                  10,            0.071255,            0.030975,            0.012466,             0.47991,             0.17476,             0.14765,            0.050884,            0.067585,            0.026335,            0.010002,           0.0095545,           0.0095545,           0.0095545
                  11,            0.070558,            0.031543,            0.011874,             0.51682,             0.21054,             0.18878,             0.06834,            0.063601,            0.024314,           0.0087629,            0.009505,            0.009505,            0.009505
                  12,            0.068888,            0.030761,            0.011571,             0.49495,             0.20507,             0.17017,            0.063876,            0.064797,            0.025482,           0.0098873,           0.0094555,           0.0094555,           0.0094555
                  13,            0.068511,            0.030832,            0.011166,             0.47349,             0.16725,             0.14701,            0.055809,            0.066905,            0.025833,            0.011663,            0.009406,            0.009406,            0.009406
                  14,            0.067163,            0.030661,             0.01061,             0.54552,             0.22816,              0.2141,            0.084805,            0.059821,             0.02375,           0.0075593,           0.0093565,           0.0093565,           0.0093565
                  15,            0.066772,            0.030375,            0.010516,             0.55679,             0.23379,             0.22457,            0.083735,            0.060995,            0.023997,            0.007752,            0.009307,            0.009307,            0.009307
                  16,            0.065456,            0.030102,             0.01032,             0.56837,             0.22191,             0.21955,            0.084921,            0.060577,            0.024005,           0.0086061,           0.0092575,           0.0092575,           0.0092575
                  17,            0.064763,            0.029932,            0.010059,             0.54796,             0.20548,             0.19764,            0.078704,             0.06185,            0.026482,           0.0087835,            0.009208,            0.009208,            0.009208
                  18,            0.064373,            0.030206,           0.0097528,             0.58392,             0.22017,             0.22361,            0.088959,            0.059139,             0.02298,           0.0073448,           0.0091585,           0.0091585,           0.0091585
                  19,            0.064207,            0.029745,           0.0098028,             0.58049,             0.25302,             0.25532,              0.1005,             0.05686,            0.023128,           0.0073089,            0.009109,            0.009109,            0.009109
                  20,            0.063091,            0.029416,           0.0095651,              0.5794,             0.24511,             0.24551,             0.10108,            0.056848,            0.022943,           0.0073572,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062778,              0.0296,           0.0091978,             0.59515,             0.26219,             0.25997,             0.10744,            0.055924,            0.022898,           0.0070652,             0.00901,             0.00901,             0.00901
                  22,            0.061988,            0.029388,           0.0091149,             0.55727,             0.23456,             0.22616,              0.0926,            0.058955,            0.024128,           0.0089692,           0.0089605,           0.0089605,           0.0089605
                  23,            0.061769,            0.029293,            0.009142,             0.62129,              0.2876,             0.29673,             0.12018,            0.054917,            0.022657,           0.0062697,            0.008911,            0.008911,            0.008911
                  24,            0.060756,            0.029375,            0.009256,             0.62404,             0.25772,             0.27348,             0.10998,            0.056558,            0.023179,           0.0072661,           0.0088615,           0.0088615,           0.0088615
                  25,            0.060543,            0.029034,           0.0088968,             0.63118,             0.28896,             0.30636,             0.11877,            0.055574,            0.022426,           0.0065815,            0.008812,            0.008812,            0.008812
                  26,            0.059994,            0.028781,           0.0085623,             0.57509,             0.23124,             0.22694,            0.089957,            0.061014,             0.02556,            0.010936,           0.0087625,           0.0087625,           0.0087625
                  27,            0.059684,            0.028339,           0.0082632,             0.62861,             0.27491,             0.28987,             0.11311,            0.056046,            0.022984,           0.0068849,            0.008713,            0.008713,            0.008713
                  28,            0.059854,            0.028234,           0.0085281,             0.63597,             0.28623,              0.3039,             0.12427,            0.054057,            0.022327,           0.0064977,           0.0086635,           0.0086635,           0.0086635
                  29,             0.05935,            0.028411,           0.0082603,             0.62053,             0.28188,             0.29075,             0.12259,            0.053965,             0.02215,           0.0065505,            0.008614,            0.008614,            0.008614
                  30,            0.059111,            0.028629,           0.0083472,             0.62046,             0.28774,             0.30216,             0.12955,            0.052299,            0.021916,           0.0060756,           0.0085645,           0.0085645,           0.0085645
                  31,            0.058931,            0.028284,           0.0080321,             0.66327,             0.30222,             0.33371,              0.1373,            0.051702,            0.021749,           0.0058653,            0.008515,            0.008515,            0.008515
                  32,            0.058277,            0.027815,           0.0078567,             0.68697,             0.29723,             0.32999,             0.13447,            0.052306,            0.021752,           0.0060859,           0.0084655,           0.0084655,           0.0084655
                  33,            0.057817,            0.028044,           0.0079552,             0.65755,             0.31381,             0.33092,               0.136,             0.05211,            0.021831,           0.0061153,            0.008416,            0.008416,            0.008416
                  34,            0.058102,            0.028563,           0.0079043,             0.66598,             0.30697,             0.33167,             0.13742,             0.05138,            0.021628,           0.0059824,           0.0083665,           0.0083665,           0.0083665
                  35,             0.05741,            0.027765,           0.0077414,             0.68895,             0.30822,              0.3473,             0.14659,            0.051423,            0.021559,           0.0058128,            0.008317,            0.008317,            0.008317
                  36,            0.057242,            0.027715,           0.0076991,             0.65074,             0.31429,             0.32507,             0.13716,            0.051304,            0.021448,           0.0062552,           0.0082675,           0.0082675,           0.0082675
                  37,            0.057029,            0.027352,           0.0081318,             0.65651,             0.32032,             0.33588,             0.14276,            0.051418,             0.02164,           0.0057847,            0.008218,            0.008218,            0.008218
                  38,            0.057331,            0.027461,           0.0077621,             0.65693,             0.31213,              0.3327,             0.14009,            0.051286,            0.021593,           0.0062835,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056581,            0.027446,           0.0076245,             0.66562,             0.32146,             0.33921,             0.14185,            0.051298,            0.021596,           0.0060303,            0.008119,            0.008119,            0.008119
                  40,            0.056403,            0.027606,           0.0077933,             0.65412,              0.3286,             0.34093,             0.14637,            0.050288,            0.021266,           0.0057341,           0.0080695,           0.0080695,           0.0080695
                  41,            0.056171,            0.027346,           0.0072524,             0.67537,             0.33642,             0.35474,             0.15182,            0.049569,            0.021094,           0.0056682,             0.00802,             0.00802,             0.00802
                  42,            0.056208,            0.027168,           0.0074059,             0.69204,             0.33001,             0.35831,             0.15414,            0.049778,            0.021225,           0.0056342,           0.0079705,           0.0079705,           0.0079705
                  43,            0.055333,            0.026675,           0.0072661,             0.69486,             0.32685,             0.35341,              0.1524,             0.04939,              0.0212,           0.0055073,            0.007921,            0.007921,            0.007921
                  44,            0.055426,             0.02758,            0.007415,              0.7016,             0.31353,              0.3541,              0.1544,            0.049386,            0.021082,            0.005558,           0.0078715,           0.0078715,           0.0078715
                  45,            0.055284,            0.026962,           0.0073603,             0.70867,             0.33784,             0.37097,             0.16045,            0.049039,            0.021001,           0.0053332,            0.007822,            0.007822,            0.007822
                  46,            0.055477,            0.026797,            0.007224,             0.67901,             0.30831,              0.3362,             0.14629,            0.050275,            0.021336,           0.0059302,           0.0077725,           0.0077725,           0.0077725
                  47,             0.05544,            0.026999,           0.0074005,             0.67198,             0.34056,             0.36194,             0.15666,            0.049607,             0.02116,           0.0056001,            0.007723,            0.007723,            0.007723
                  48,            0.055208,            0.027081,           0.0072093,             0.70923,             0.34437,             0.38176,             0.16233,            0.048664,            0.020999,           0.0051406,           0.0076735,           0.0076735,           0.0076735
                  49,            0.054669,            0.026648,           0.0069682,             0.69052,             0.34076,             0.36639,             0.15957,            0.048985,            0.021035,           0.0054544,            0.007624,            0.007624,            0.007624
                  50,            0.054572,            0.027262,           0.0072351,             0.71207,             0.34563,             0.38288,             0.16292,            0.048404,            0.020834,           0.0051248,           0.0075745,           0.0075745,           0.0075745
                  51,            0.054497,            0.026969,           0.0071813,             0.75496,             0.32095,             0.38056,             0.16433,            0.048139,            0.020718,            0.005287,            0.007525,            0.007525,            0.007525
                  52,            0.054534,            0.026845,           0.0070816,             0.67168,             0.34539,             0.36214,             0.15805,            0.048686,            0.020917,           0.0056622,           0.0074755,           0.0074755,           0.0074755
                  53,            0.053937,            0.026659,           0.0068039,             0.72542,             0.34211,             0.38803,             0.16766,            0.047725,            0.020757,           0.0052177,            0.007426,            0.007426,            0.007426
