               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10665,            0.042709,            0.035009,          0.00055475,            0.045115,          0.00044623,          0.00011152,             0.10263,            0.032516,            0.027911,            0.070147,            0.003317,            0.003317
                   1,             0.10375,            0.042634,             0.02762,          0.00070877,            0.059552,          0.00075075,          0.00020137,             0.10223,            0.031754,            0.025183,            0.040114,           0.0066174,           0.0066174
                   2,             0.10107,            0.038822,            0.026186,             0.50104,            0.035371,            0.001112,          0.00036668,             0.10435,            0.068306,            0.022779,            0.010048,           0.0098848,           0.0098848
                   3,            0.093653,            0.036979,            0.023093,             0.30308,            0.050138,            0.027888,           0.0081946,            0.088372,            0.034456,             0.01912,           0.0098515,           0.0098515,           0.0098515
                   4,            0.085986,            0.034818,            0.018655,             0.34205,            0.076001,             0.04276,            0.012541,            0.083557,            0.031625,            0.014775,           0.0098515,           0.0098515,           0.0098515
                   5,            0.080183,            0.032821,            0.015896,             0.34439,             0.11888,            0.064555,              0.0191,            0.077892,            0.027509,            0.013517,            0.009802,            0.009802,            0.009802
                   6,            0.076531,            0.032602,            0.014462,             0.44277,              0.1155,            0.078205,            0.024163,            0.080341,             0.02703,            0.015844,           0.0097525,           0.0097525,           0.0097525
                   7,            0.073437,            0.032156,            0.013192,             0.51244,             0.18339,             0.16188,            0.058158,            0.067037,            0.025302,            0.010672,            0.009703,            0.009703,            0.009703
                   8,            0.071255,            0.031757,            0.012286,              0.4391,             0.14035,              0.1088,            0.037823,            0.071915,             0.02775,            0.012306,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069611,            0.030939,            0.011236,             0.49457,              0.2036,             0.17252,            0.058289,            0.067481,            0.024786,             0.01018,            0.009604,            0.009604,            0.009604
                  10,            0.067458,            0.030164,             0.01113,             0.43473,             0.13277,             0.10088,             0.03749,            0.076493,            0.033943,            0.015517,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066842,            0.030486,            0.010426,             0.54816,             0.21102,             0.20477,            0.077678,            0.062489,            0.024413,           0.0093228,            0.009505,            0.009505,            0.009505
                  12,            0.065138,            0.029711,            0.010134,             0.60093,             0.24227,             0.25508,             0.10109,            0.059644,            0.023106,           0.0076091,           0.0094555,           0.0094555,           0.0094555
