               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11232,            0.041088,            0.043076,          0.00055537,            0.027671,          0.00032588,          9.2062e-05,             0.10458,             0.03263,             0.04088,            0.070147,            0.003317,            0.003317
                   1,             0.10569,            0.043551,            0.035042,          0.00043385,            0.036453,          0.00031523,          9.2466e-05,             0.10215,            0.032629,             0.02641,            0.040114,           0.0066174,           0.0066174
                   2,             0.10296,            0.039685,            0.026817,                   0,                   0,                   0,                   0,             0.13276,            0.019336,             0.10174,            0.010048,           0.0098848,           0.0098848
                   3,            0.096158,            0.037612,            0.023098,             0.30505,            0.035244,            0.016301,           0.0045163,            0.095722,            0.034173,            0.020917,           0.0098515,           0.0098515,           0.0098515
                   4,            0.085683,            0.035029,             0.01788,             0.25614,           0.0097921,           0.0037704,           0.0016701,             0.10605,            0.082698,            0.063049,           0.0098515,           0.0098515,           0.0098515
                   5,            0.078397,             0.03232,            0.014387,             0.44541,             0.11862,            0.094867,            0.029059,            0.077908,             0.02793,            0.014633,            0.009802,            0.009802,            0.009802
                   6,            0.073572,            0.031459,            0.012683,             0.48842,             0.18019,              0.1479,            0.053609,            0.068156,            0.026598,            0.012012,           0.0097525,           0.0097525,           0.0097525
                   7,            0.070274,            0.030782,            0.011529,             0.59167,            0.038647,            0.032276,           0.0094132,             0.09629,            0.031396,            0.017723,            0.009703,            0.009703,            0.009703
                   8,            0.067296,            0.030244,            0.010837,             0.57857,             0.26636,             0.25337,            0.097046,            0.059351,            0.022959,           0.0076223,           0.0096535,           0.0096535,           0.0096535
                   9,            0.065475,            0.029314,           0.0098496,             0.52246,             0.15813,             0.15122,            0.056172,            0.068669,            0.033147,            0.010818,            0.009604,            0.009604,            0.009604
                  10,            0.063393,            0.028374,           0.0093917,             0.64795,             0.29424,             0.29647,             0.12006,            0.057012,            0.022762,           0.0070193,           0.0095545,           0.0095545,           0.0095545
                  11,            0.061814,            0.028655,            0.008954,             0.67147,              0.2691,             0.29991,              0.1271,            0.054477,            0.022335,           0.0070608,            0.009505,            0.009505,            0.009505
                  12,            0.060342,            0.027888,           0.0084593,              0.6532,             0.28614,             0.29932,             0.12277,            0.055818,            0.022824,           0.0077341,           0.0094555,           0.0094555,           0.0094555
                  13,            0.059301,            0.027722,           0.0080584,             0.53958,              0.1557,             0.15624,            0.058994,             0.07446,             0.03342,            0.013246,            0.009406,            0.009406,            0.009406
                  14,            0.058395,            0.027483,           0.0078768,             0.59904,             0.21839,             0.22474,            0.090551,            0.063633,             0.02961,            0.008081,           0.0093565,           0.0093565,           0.0093565
                  15,            0.057141,              0.0271,           0.0075713,              0.6185,             0.26339,             0.26595,             0.11136,            0.058373,             0.02694,           0.0087302,            0.009307,            0.009307,            0.009307
                  16,            0.056236,            0.026827,           0.0075701,             0.72526,             0.30938,             0.35655,             0.15009,            0.050917,             0.02188,           0.0072777,           0.0092575,           0.0092575,           0.0092575
                  17,            0.055301,            0.026519,           0.0071782,             0.71088,             0.31428,             0.34392,             0.15292,            0.050604,            0.021891,           0.0066959,            0.009208,            0.009208,            0.009208
                  18,            0.054751,            0.026612,           0.0070131,             0.73004,             0.32978,             0.38173,             0.16877,            0.049517,            0.021142,           0.0055209,           0.0091585,           0.0091585,           0.0091585
                  19,            0.054536,            0.026183,           0.0070655,             0.66099,             0.28877,             0.31859,             0.13184,            0.055284,            0.023872,           0.0072137,            0.009109,            0.009109,            0.009109
                  20,            0.053932,            0.025952,           0.0069015,             0.70085,              0.3161,             0.35669,             0.15178,            0.052151,            0.023431,           0.0075079,           0.0090595,           0.0090595,           0.0090595
                  21,            0.052863,            0.025951,           0.0064762,             0.73174,             0.35342,              0.3918,             0.17032,            0.050029,            0.021525,           0.0058305,             0.00901,             0.00901,             0.00901
                  22,            0.052164,            0.025625,            0.006488,             0.72111,             0.38955,             0.41843,              0.1885,            0.046255,            0.020182,           0.0053903,           0.0089605,           0.0089605,           0.0089605
                  23,            0.052187,            0.025729,           0.0065062,             0.72132,             0.33956,             0.38403,             0.15883,            0.051543,            0.022648,           0.0067245,            0.008911,            0.008911,            0.008911
                  24,            0.050804,            0.025452,           0.0063889,             0.76544,             0.35344,             0.40571,             0.17967,            0.047571,            0.021692,           0.0053374,           0.0088615,           0.0088615,           0.0088615
                  25,            0.050872,            0.025144,           0.0060744,             0.75876,              0.3388,             0.40516,             0.18165,            0.047324,            0.021878,           0.0051674,            0.008812,            0.008812,            0.008812
                  26,            0.050055,            0.024736,           0.0059469,             0.78004,             0.40237,             0.45754,             0.20987,            0.044772,              0.0197,           0.0048166,           0.0087625,           0.0087625,           0.0087625
                  27,            0.049701,            0.024416,           0.0056705,             0.76877,             0.40198,             0.47144,             0.21668,            0.044669,            0.019669,           0.0050404,            0.008713,            0.008713,            0.008713
                  28,            0.049853,            0.024164,           0.0059108,             0.77747,             0.40227,             0.47136,             0.21707,            0.044885,            0.019746,           0.0047778,           0.0086635,           0.0086635,           0.0086635
                  29,            0.048975,            0.024532,           0.0057783,             0.78544,             0.40577,             0.47776,             0.21854,            0.044135,            0.019524,           0.0046207,            0.008614,            0.008614,            0.008614
                  30,            0.049524,            0.024635,           0.0056804,             0.78771,             0.41462,             0.49686,             0.22801,            0.044631,            0.019622,           0.0046501,           0.0085645,           0.0085645,           0.0085645
                  31,            0.048753,            0.024294,           0.0054721,             0.77189,             0.39427,             0.46429,             0.21263,            0.046831,            0.020713,           0.0057476,            0.008515,            0.008515,            0.008515
                  32,            0.048199,            0.023889,           0.0054119,             0.75872,             0.36609,             0.42047,             0.18618,            0.050179,            0.023278,           0.0064548,           0.0084655,           0.0084655,           0.0084655
                  33,            0.047711,            0.023956,           0.0053509,             0.73703,             0.34367,             0.38927,             0.17273,            0.053047,            0.025278,            0.010072,            0.008416,            0.008416,            0.008416
                  34,            0.047761,             0.02446,           0.0054384,             0.77587,             0.38127,             0.45755,             0.20897,            0.045956,            0.020996,           0.0050334,           0.0083665,           0.0083665,           0.0083665
                  35,            0.047178,            0.023648,           0.0052803,             0.78017,             0.38002,             0.45924,             0.22113,            0.044918,            0.021096,           0.0050186,            0.008317,            0.008317,            0.008317
                  36,            0.047017,            0.023632,           0.0053297,             0.77299,             0.40288,             0.46422,             0.21869,            0.043406,            0.019648,           0.0051484,           0.0082675,           0.0082675,           0.0082675
                  37,            0.046814,            0.023308,           0.0055627,             0.78404,             0.38775,             0.47247,             0.22639,            0.044369,            0.019858,           0.0049148,            0.008218,            0.008218,            0.008218
                  38,            0.047344,            0.023713,           0.0053974,             0.79586,             0.42865,             0.53395,             0.26147,            0.042994,            0.018917,            0.004206,           0.0081685,           0.0081685,           0.0081685
                  39,            0.046342,            0.023374,           0.0051974,             0.83204,             0.41141,             0.53181,             0.25122,            0.043258,            0.019132,           0.0043859,            0.008119,            0.008119,            0.008119
                  40,            0.046232,            0.023369,           0.0052826,             0.76712,             0.37446,              0.4435,             0.20231,            0.047154,            0.022534,           0.0057656,           0.0080695,           0.0080695,           0.0080695
                  41,            0.045987,            0.023148,           0.0048894,             0.67041,             0.50111,             0.54726,             0.26761,            0.042382,            0.018838,           0.0042002,             0.00802,             0.00802,             0.00802
                  42,            0.045841,            0.022982,           0.0050808,             0.65102,             0.52768,             0.53908,             0.26147,            0.042158,            0.019037,           0.0041729,           0.0079705,           0.0079705,           0.0079705
                  43,            0.045178,            0.022516,            0.004876,             0.70768,             0.49532,              0.5501,             0.27532,            0.041556,            0.018473,           0.0039544,            0.007921,            0.007921,            0.007921
                  44,            0.044981,            0.023218,           0.0050013,             0.79395,             0.48147,             0.55135,              0.2721,            0.041365,            0.018468,           0.0038924,           0.0078715,           0.0078715,           0.0078715
                  45,            0.044896,              0.0226,           0.0048297,             0.74299,              0.5241,             0.58106,             0.28971,            0.040715,            0.018412,           0.0038838,            0.007822,            0.007822,            0.007822
                  46,            0.044844,            0.022352,           0.0047622,             0.79791,             0.48145,             0.55384,             0.27808,            0.040653,            0.018388,            0.003974,           0.0077725,           0.0077725,           0.0077725
                  47,            0.044737,            0.022547,           0.0049603,             0.77737,             0.49951,             0.56336,             0.27427,            0.041363,            0.018552,           0.0041171,            0.007723,            0.007723,            0.007723
                  48,            0.044778,             0.02282,           0.0048791,             0.78632,              0.4685,             0.54925,             0.27109,            0.040798,            0.018442,           0.0039701,           0.0076735,           0.0076735,           0.0076735
                  49,            0.044248,            0.022313,           0.0046496,             0.81063,             0.50113,             0.57392,             0.28304,            0.040812,            0.018235,           0.0038639,            0.007624,            0.007624,            0.007624
                  50,             0.04404,            0.022713,           0.0049222,              0.7232,             0.55607,             0.58625,             0.29412,            0.040767,            0.018569,            0.003918,           0.0075745,           0.0075745,           0.0075745
                  51,             0.04388,             0.02232,           0.0046213,              0.6538,             0.52267,             0.58034,             0.29336,            0.039902,            0.018222,           0.0038669,            0.007525,            0.007525,            0.007525
                  52,            0.043752,            0.022355,           0.0045585,             0.77245,             0.54381,             0.59055,             0.29588,            0.040228,            0.018396,           0.0039947,           0.0074755,           0.0074755,           0.0074755
                  53,            0.043095,            0.022034,           0.0044178,              0.6582,             0.56966,             0.59167,             0.29715,            0.039866,            0.018068,           0.0036918,            0.007426,            0.007426,            0.007426
                  54,            0.043698,            0.022262,           0.0042994,             0.77043,             0.48641,             0.56349,             0.27356,            0.041286,            0.018578,           0.0040653,           0.0073765,           0.0073765,           0.0073765
                  55,            0.043455,            0.022171,           0.0045687,             0.63691,             0.57301,              0.6008,             0.30365,            0.040465,            0.018285,           0.0038862,            0.007327,            0.007327,            0.007327
                  56,             0.04319,             0.02195,           0.0045355,             0.78923,             0.54011,             0.60863,             0.30548,            0.039738,            0.018143,           0.0036981,           0.0072775,           0.0072775,           0.0072775
                  57,            0.042822,            0.021965,           0.0043499,              0.7163,             0.54132,             0.59927,             0.31004,            0.039461,            0.018009,           0.0036833,            0.007228,            0.007228,            0.007228
                  58,            0.042796,            0.022003,           0.0043574,              0.7105,              0.5621,             0.61476,             0.31918,            0.039259,            0.018097,           0.0035571,           0.0071785,           0.0071785,           0.0071785
                  59,            0.042596,            0.021279,           0.0041053,             0.78417,             0.51616,             0.60778,             0.30556,            0.039595,            0.018004,           0.0036122,            0.007129,            0.007129,            0.007129
                  60,            0.042433,            0.021444,            0.004133,             0.78778,             0.54789,             0.61927,              0.3095,            0.039697,            0.018078,           0.0038032,           0.0070795,           0.0070795,           0.0070795
                  61,            0.042179,            0.021937,           0.0041638,             0.65683,              0.5602,             0.59739,             0.30132,            0.039643,            0.018204,           0.0035798,             0.00703,             0.00703,             0.00703
                  62,            0.042027,            0.021696,           0.0040939,             0.64017,             0.55531,             0.58599,             0.28546,            0.039789,            0.018342,           0.0037127,           0.0069805,           0.0069805,           0.0069805
                  63,            0.042196,            0.021508,           0.0041855,              0.7321,              0.5825,              0.6398,             0.32172,             0.03924,             0.01773,           0.0035533,            0.006931,            0.006931,            0.006931
                  64,            0.041923,             0.02136,           0.0039715,             0.78625,             0.56273,              0.6292,             0.32513,            0.039181,            0.018034,            0.003623,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041903,            0.021648,           0.0039061,             0.75795,             0.55598,             0.62229,             0.30395,            0.039559,            0.018092,           0.0040568,            0.006832,            0.006832,            0.006832
                  66,             0.04166,            0.021217,            0.003866,              0.7292,             0.59325,             0.64356,             0.31132,            0.038863,             0.01768,           0.0036152,           0.0067825,           0.0067825,           0.0067825
                  67,            0.041476,            0.020891,           0.0038857,             0.74019,             0.58308,             0.63077,              0.3108,            0.038939,            0.017966,           0.0037073,            0.006733,            0.006733,            0.006733
                  68,            0.041582,            0.021256,           0.0038936,             0.73559,             0.55969,             0.61779,             0.30304,            0.038995,            0.018018,           0.0034698,           0.0066835,           0.0066835,           0.0066835
                  69,            0.041283,            0.021362,           0.0038624,             0.72941,              0.5672,             0.61532,             0.31152,             0.03879,             0.01764,           0.0035051,            0.006634,            0.006634,            0.006634
                  70,             0.04129,            0.021107,           0.0039019,             0.76978,             0.56334,             0.62046,             0.32003,            0.038843,            0.017856,           0.0037917,           0.0065845,           0.0065845,           0.0065845
                  71,            0.041124,             0.02113,           0.0038917,             0.74933,             0.60991,             0.65238,              0.3379,            0.038775,            0.017619,           0.0033953,            0.006535,            0.006535,            0.006535
                  72,            0.040544,            0.020852,           0.0036549,             0.76862,              0.5969,             0.65271,                0.33,            0.039088,            0.017961,           0.0035315,           0.0064855,           0.0064855,           0.0064855
                  73,            0.040997,            0.021168,           0.0037582,             0.75934,             0.59598,             0.65997,             0.32789,             0.03852,            0.017606,           0.0033617,            0.006436,            0.006436,            0.006436
                  74,             0.04084,            0.020673,           0.0036816,             0.76159,             0.57346,             0.64551,             0.32536,            0.038404,            0.017747,           0.0035658,           0.0063865,           0.0063865,           0.0063865
                  75,            0.040537,            0.021022,           0.0036944,             0.76158,             0.56135,             0.64332,             0.32765,            0.038298,            0.017873,           0.0035379,            0.006337,            0.006337,            0.006337
                  76,            0.040045,            0.020205,           0.0036493,             0.77574,             0.52844,             0.62225,             0.31813,            0.038218,            0.017602,             0.00334,           0.0062875,           0.0062875,           0.0062875
                  77,            0.040352,            0.020689,           0.0036785,             0.80328,             0.56889,             0.65949,             0.32661,              0.0384,            0.017773,            0.003388,            0.006238,            0.006238,            0.006238
                  78,            0.040016,            0.021047,           0.0035308,               0.777,             0.56641,             0.65915,             0.33438,            0.037835,            0.017642,           0.0031989,           0.0061885,           0.0061885,           0.0061885
                  79,            0.040117,            0.020533,           0.0035697,             0.76955,               0.539,             0.62601,              0.3197,            0.038364,            0.017617,           0.0033391,            0.006139,            0.006139,            0.006139
                  80,            0.039916,            0.020397,           0.0035139,             0.78821,             0.57987,             0.65353,              0.3358,            0.037738,            0.017443,           0.0033444,           0.0060895,           0.0060895,           0.0060895
                  81,            0.039737,            0.020398,           0.0035874,             0.82728,             0.57129,             0.64866,             0.33274,            0.038481,            0.017633,            0.003864,             0.00604,             0.00604,             0.00604
                  82,            0.039895,            0.020415,           0.0036462,             0.72904,              0.5663,             0.63754,             0.32324,             0.03838,            0.017729,           0.0032562,           0.0059905,           0.0059905,           0.0059905
                  83,            0.039557,              0.0201,           0.0035266,             0.79341,             0.57414,             0.66173,             0.34248,            0.038142,            0.017641,           0.0032694,            0.005941,            0.005941,            0.005941
                  84,            0.039083,            0.020109,            0.003416,             0.70694,             0.61551,             0.64937,             0.33414,            0.038069,            0.017527,            0.003375,           0.0058915,           0.0058915,           0.0058915
                  85,            0.039458,            0.019936,           0.0034448,             0.77167,             0.56174,             0.65151,             0.34008,            0.037822,            0.017361,           0.0034115,            0.005842,            0.005842,            0.005842
                  86,            0.039201,            0.020797,            0.003508,             0.82694,             0.55977,             0.65183,             0.33369,             0.03787,            0.017606,           0.0033902,           0.0057925,           0.0057925,           0.0057925
                  87,            0.039088,            0.020116,           0.0033906,             0.79119,             0.56975,             0.64771,             0.32908,            0.037806,            0.017499,           0.0034643,            0.005743,            0.005743,            0.005743
                  88,            0.038973,            0.020055,            0.003318,             0.79413,             0.57755,             0.65396,             0.33768,            0.037738,            0.017646,           0.0035168,           0.0056935,           0.0056935,           0.0056935
                  89,            0.039072,            0.019834,           0.0032958,             0.71384,             0.56433,             0.64069,             0.33099,            0.037749,            0.017514,           0.0035606,            0.005644,            0.005644,            0.005644
                  90,            0.038943,            0.019746,           0.0033205,              0.7385,             0.59913,             0.64606,              0.3316,             0.03781,            0.017399,           0.0033192,           0.0055945,           0.0055945,           0.0055945
                  91,            0.038456,            0.019856,           0.0033475,             0.74632,             0.59683,             0.64872,              0.3281,            0.037406,            0.017334,           0.0034349,            0.005545,            0.005545,            0.005545
                  92,            0.038657,            0.019669,           0.0034087,              0.7869,             0.60038,             0.66524,             0.34187,            0.037379,            0.017477,           0.0032379,           0.0054955,           0.0054955,           0.0054955
                  93,            0.039147,            0.019841,           0.0033887,             0.81332,              0.6024,             0.69477,             0.36154,            0.037379,            0.017548,           0.0032192,            0.005446,            0.005446,            0.005446
                  94,             0.03879,            0.019905,           0.0034588,             0.77519,             0.60933,             0.66772,             0.34554,             0.03757,            0.017427,           0.0031571,           0.0053965,           0.0053965,           0.0053965
