               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11492,            0.040707,            0.043939,          0.00044294,            0.027171,          0.00030823,          8.7136e-05,             0.10867,            0.030601,            0.042338,            0.070588,            0.003268,            0.003268
                   1,             0.10721,            0.041702,            0.037807,          0.00038803,            0.032603,          0.00037638,          0.00011046,             0.10271,            0.031426,            0.031046,            0.040556,           0.0065686,           0.0065686
                   2,             0.10219,            0.040613,            0.027966,          0.00070736,            0.059432,            0.001256,          0.00046232,             0.10388,            0.050191,            0.023227,             0.01049,           0.0098363,           0.0098363
                   3,            0.094983,            0.038315,            0.022512,          0.00018569,            0.008053,          0.00010096,           2.053e-05,             0.11356,            0.040478,            0.040205,           0.0098515,           0.0098515,           0.0098515
                   4,            0.084951,            0.034793,            0.017897,             0.28006,            0.037729,            0.010641,           0.0031345,            0.099634,            0.038804,            0.045145,           0.0098515,           0.0098515,           0.0098515
                   5,            0.078849,            0.033465,            0.014866,             0.41326,            0.023865,            0.024081,           0.0068971,            0.095596,            0.032103,            0.017506,            0.009802,            0.009802,            0.009802
                   6,            0.073988,            0.032058,            0.012401,             0.34903,            0.027125,           0.0087644,           0.0020812,             0.10223,             0.03057,            0.055641,           0.0097525,           0.0097525,           0.0097525
                   7,             0.07046,            0.031179,            0.011736,             0.28035,            0.019493,           0.0039703,           0.0009006,             0.10713,            0.039006,            0.023116,            0.009703,            0.009703,            0.009703
                   8,            0.068117,            0.029392,            0.010506,             0.40395,            0.028236,            0.033627,            0.012247,            0.088292,            0.045746,            0.024441,           0.0096535,           0.0096535,           0.0096535
                   9,            0.065637,            0.029259,            0.010132,             0.72816,            0.013709,            0.020228,           0.0072353,             0.10081,            0.034868,            0.019019,            0.009604,            0.009604,            0.009604
                  10,            0.064602,            0.029204,           0.0098182,             0.47194,             0.12562,             0.10032,            0.038097,            0.079228,             0.02892,            0.026224,           0.0095545,           0.0095545,           0.0095545
                  11,             0.06316,            0.029698,           0.0092119,             0.50581,             0.13753,             0.13643,            0.053508,            0.072747,             0.02983,            0.014888,            0.009505,            0.009505,            0.009505
                  12,            0.061392,            0.028843,           0.0093117,              0.6156,             0.25376,             0.27077,             0.10829,            0.058368,            0.023657,            0.007667,           0.0094555,           0.0094555,           0.0094555
                  13,            0.059639,            0.028203,           0.0087398,             0.63739,             0.24787,             0.28363,             0.11717,            0.056233,            0.024196,           0.0071361,            0.009406,            0.009406,            0.009406
                  14,            0.059294,            0.028253,           0.0081443,              0.6319,             0.26067,             0.28579,             0.11746,            0.055598,            0.022476,           0.0072546,           0.0093565,           0.0093565,           0.0093565
                  15,             0.05785,            0.027223,           0.0077345,               0.611,             0.24803,             0.26438,             0.11042,             0.05708,            0.023921,           0.0078704,            0.009307,            0.009307,            0.009307
                  16,            0.057221,            0.027217,           0.0079979,             0.66554,             0.25454,             0.27382,             0.11804,            0.054846,            0.024971,           0.0088455,           0.0092575,           0.0092575,           0.0092575
                  17,            0.055856,            0.027012,           0.0069031,             0.69193,             0.33517,             0.35835,             0.15758,            0.050176,            0.020653,           0.0054758,            0.009208,            0.009208,            0.009208
                  18,            0.055382,            0.027351,           0.0074846,             0.70068,             0.32168,             0.36129,             0.14707,            0.051358,            0.021196,           0.0059096,           0.0091585,           0.0091585,           0.0091585
                  19,            0.055296,            0.027273,           0.0073031,             0.70032,             0.31469,             0.35192,             0.15385,            0.050622,            0.021371,           0.0055786,            0.009109,            0.009109,            0.009109
                  20,             0.05453,            0.026177,           0.0069803,             0.73157,             0.34845,             0.38152,             0.16805,             0.04789,            0.020183,           0.0052793,           0.0090595,           0.0090595,           0.0090595
                  21,            0.053733,            0.025618,           0.0066871,             0.68875,             0.25627,             0.29303,             0.12803,            0.052691,            0.025154,           0.0064992,             0.00901,             0.00901,             0.00901
                  22,            0.053602,            0.025947,           0.0067604,             0.65818,             0.29132,              0.3138,             0.13479,            0.052529,            0.024048,           0.0063378,           0.0089605,           0.0089605,           0.0089605
                  23,            0.052784,            0.025587,           0.0067138,             0.70667,             0.33014,             0.35974,             0.16153,            0.050016,            0.020809,           0.0058116,            0.008911,            0.008911,            0.008911
                  24,            0.052276,            0.025035,           0.0064484,             0.70683,             0.29142,             0.32281,             0.14342,            0.050998,            0.022914,           0.0062762,           0.0088615,           0.0088615,           0.0088615
                  25,             0.05162,            0.025263,           0.0064315,             0.75523,             0.37482,             0.42199,             0.19004,            0.046507,            0.019857,           0.0053152,            0.008812,            0.008812,            0.008812
                  26,             0.05085,            0.025537,           0.0062684,             0.74568,             0.38015,             0.42804,             0.19145,            0.045868,            0.019532,           0.0047217,           0.0087625,           0.0087625,           0.0087625
                  27,            0.050737,            0.024669,           0.0061112,             0.70691,             0.29383,             0.33035,             0.14952,            0.050038,            0.023545,           0.0068366,            0.008713,            0.008713,            0.008713
                  28,            0.050629,            0.024705,           0.0059853,             0.75927,             0.36934,             0.42755,             0.19979,            0.045537,            0.019382,            0.004711,           0.0086635,           0.0086635,           0.0086635
                  29,             0.05025,              0.0248,           0.0058919,             0.74087,             0.36676,             0.41722,             0.18818,            0.046308,            0.019794,           0.0050014,            0.008614,            0.008614,            0.008614
                  30,            0.049543,            0.025178,            0.005638,             0.77894,             0.38723,             0.45577,              0.2064,            0.045279,            0.019336,           0.0049217,           0.0085645,           0.0085645,           0.0085645
                  31,            0.049745,            0.024936,           0.0059018,             0.80074,             0.37014,             0.44512,             0.20503,            0.045388,            0.019354,           0.0048899,            0.008515,            0.008515,            0.008515
                  32,            0.049166,            0.024688,           0.0055752,             0.79474,             0.38151,              0.4403,             0.20525,            0.045289,             0.01953,           0.0047726,           0.0084655,           0.0084655,           0.0084655
                  33,             0.04938,            0.024692,           0.0058913,             0.79265,             0.35794,              0.4256,             0.19383,            0.045191,            0.019875,            0.004735,            0.008416,            0.008416,            0.008416
                  34,            0.048966,            0.024473,           0.0057151,             0.74722,             0.36753,             0.41662,             0.19097,            0.046316,            0.020518,           0.0052136,           0.0083665,           0.0083665,           0.0083665
                  35,            0.048506,            0.024674,           0.0055483,             0.77685,             0.42438,             0.50846,             0.24174,            0.042942,            0.018543,           0.0041694,            0.008317,            0.008317,            0.008317
                  36,            0.047763,            0.024439,           0.0057748,             0.79057,             0.39747,             0.47421,             0.21928,             0.04429,            0.018905,            0.004308,           0.0082675,           0.0082675,           0.0082675
                  37,            0.047816,            0.024098,           0.0056722,             0.77604,             0.36232,             0.44089,             0.20004,             0.04792,            0.021005,           0.0049637,            0.008218,            0.008218,            0.008218
                  38,            0.048157,            0.024643,           0.0056483,             0.81449,             0.40622,             0.50357,             0.23847,            0.043344,            0.018543,           0.0042987,           0.0081685,           0.0081685,           0.0081685
                  39,            0.047239,            0.023624,           0.0054715,             0.81006,              0.4054,             0.50515,             0.24178,            0.043225,            0.018595,           0.0042137,            0.008119,            0.008119,            0.008119
                  40,            0.047401,            0.023808,           0.0053754,             0.78672,             0.40758,              0.5291,             0.24733,            0.042924,              0.0184,           0.0041064,           0.0080695,           0.0080695,           0.0080695
                  41,            0.046663,             0.02403,           0.0052464,             0.80824,             0.42072,             0.53902,              0.2606,            0.042236,            0.018219,           0.0040546,             0.00802,             0.00802,             0.00802
                  42,            0.046797,            0.024348,             0.00534,             0.81949,             0.43534,             0.54684,             0.26262,            0.041833,            0.018127,           0.0042877,           0.0079705,           0.0079705,           0.0079705
                  43,            0.046759,            0.024096,           0.0053487,             0.78602,             0.39908,             0.50953,             0.24631,            0.043088,            0.019015,           0.0043371,            0.007921,            0.007921,            0.007921
                  44,            0.046258,            0.022802,           0.0050553,              0.7988,             0.40601,             0.48328,             0.23104,            0.043184,            0.019025,           0.0044733,           0.0078715,           0.0078715,           0.0078715
                  45,            0.045503,            0.023228,           0.0048601,             0.81644,             0.38782,             0.49426,              0.2352,            0.042815,            0.018762,            0.005421,            0.007822,            0.007822,            0.007822
                  46,            0.046124,             0.02331,           0.0052079,             0.80949,             0.39819,             0.49543,             0.24067,            0.042599,            0.018766,           0.0044768,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046012,            0.022492,           0.0052459,             0.64519,             0.49352,              0.5211,             0.25654,            0.042868,            0.018668,            0.004539,            0.007723,            0.007723,            0.007723
                  48,            0.045671,            0.022733,           0.0048703,             0.80144,             0.40231,             0.51126,             0.23354,            0.043648,            0.018943,           0.0044313,           0.0076735,           0.0076735,           0.0076735
                  49,            0.045354,            0.022925,           0.0048521,             0.82062,             0.43191,             0.55386,             0.26734,            0.041757,            0.018212,           0.0040605,            0.007624,            0.007624,            0.007624
                  50,            0.044983,            0.022257,           0.0049828,             0.74285,             0.44704,             0.51664,             0.25101,            0.042908,             0.01975,           0.0043467,           0.0075745,           0.0075745,           0.0075745
                  51,            0.044967,            0.022701,           0.0047614,             0.76593,             0.46151,              0.5372,             0.26357,            0.041957,            0.018382,           0.0039416,            0.007525,            0.007525,            0.007525
                  52,            0.044754,            0.022457,           0.0050207,             0.71816,             0.48656,             0.54487,              0.2651,             0.04177,             0.01837,           0.0042895,           0.0074755,           0.0074755,           0.0074755
                  53,            0.044589,            0.022621,           0.0046012,             0.78428,             0.49687,             0.57222,             0.28156,            0.041507,            0.017799,           0.0038359,            0.007426,            0.007426,            0.007426
                  54,            0.044744,            0.022262,           0.0047755,             0.75958,             0.47051,             0.54883,              0.2613,            0.041573,            0.018237,           0.0037904,           0.0073765,           0.0073765,           0.0073765
                  55,            0.044891,            0.022589,           0.0046889,             0.70985,             0.51506,             0.57263,             0.27448,             0.04013,            0.017591,           0.0035486,            0.007327,            0.007327,            0.007327
                  56,            0.044065,            0.022461,           0.0046745,             0.65494,             0.53543,             0.58213,             0.29434,            0.040469,            0.017778,           0.0037692,           0.0072775,           0.0072775,           0.0072775
                  57,            0.044466,            0.023508,           0.0048413,             0.78996,             0.50534,             0.57898,             0.28236,            0.040594,            0.018011,           0.0038355,            0.007228,            0.007228,            0.007228
                  58,            0.044019,            0.022346,           0.0046483,             0.78863,             0.49364,             0.57508,             0.28754,            0.040619,            0.017932,            0.003903,           0.0071785,           0.0071785,           0.0071785
                  59,            0.043648,            0.022888,           0.0045367,             0.81301,             0.53497,             0.60373,             0.30019,            0.040044,            0.017622,           0.0035344,            0.007129,            0.007129,            0.007129
                  60,            0.043405,            0.022071,           0.0046457,              0.6554,             0.51419,              0.5534,             0.27141,            0.040679,            0.018082,           0.0037716,           0.0070795,           0.0070795,           0.0070795
                  61,            0.043945,            0.022809,           0.0046116,             0.79965,             0.49682,              0.5776,             0.29242,            0.039964,            0.017718,           0.0037892,             0.00703,             0.00703,             0.00703
                  62,             0.04374,            0.022589,           0.0042661,             0.65158,             0.58588,             0.59759,             0.30108,            0.040219,            0.017728,           0.0036844,           0.0069805,           0.0069805,           0.0069805
