               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11201,            0.040639,            0.042207,          0.00035223,            0.029596,           0.0002907,          8.6172e-05,             0.10402,            0.032682,            0.038735,            0.070588,            0.003268,            0.003268
                   1,             0.10457,            0.042718,            0.032041,          0.00059851,            0.050289,          0.00048144,          0.00011756,             0.10273,            0.031748,            0.028029,            0.040556,           0.0065686,           0.0065686
                   2,            0.099778,            0.038938,            0.025479,             0.25299,            0.010948,           0.0010127,           0.0003131,             0.10557,            0.067327,            0.026885,             0.01049,           0.0098363,           0.0098363
                   3,            0.091736,            0.037531,            0.020415,           0.0014926,            0.023458,            0.002215,          0.00065509,             0.11414,            0.033861,            0.028985,           0.0098515,           0.0098515,           0.0098515
                   4,             0.08322,            0.033905,            0.016983,             0.34187,             0.03812,            0.024833,           0.0082719,            0.093147,            0.030309,            0.021127,           0.0098515,           0.0098515,           0.0098515
                   5,            0.078305,            0.032858,            0.014546,             0.25058,           0.0046433,          0.00027681,           9.116e-05,               0.116,            0.032925,            0.029169,            0.009802,            0.009802,            0.009802
                   6,            0.074132,            0.031765,            0.013414,             0.40224,             0.12655,              0.0819,            0.026951,            0.081854,            0.030424,             0.01521,           0.0097525,           0.0097525,           0.0097525
                   7,            0.071178,             0.03093,            0.011795,             0.44701,            0.087028,            0.075441,            0.030875,            0.079861,            0.034037,            0.017005,            0.009703,            0.009703,            0.009703
                   8,            0.068109,            0.030944,            0.010847,             0.53699,             0.17856,             0.17387,            0.066718,            0.065864,            0.025883,           0.0099422,           0.0096535,           0.0096535,           0.0096535
                   9,            0.066741,            0.030567,            0.010567,             0.54789,             0.19342,             0.18557,            0.075789,            0.063211,            0.025945,           0.0089992,            0.009604,            0.009604,            0.009604
                  10,            0.064416,            0.029332,           0.0095682,             0.50001,             0.10048,            0.096102,            0.033635,            0.080101,            0.032578,            0.017277,           0.0095545,           0.0095545,           0.0095545
                  11,            0.063457,            0.029054,           0.0094115,             0.56023,             0.24008,             0.24147,            0.099691,            0.059867,            0.023396,           0.0086122,            0.009505,            0.009505,            0.009505
                  12,            0.061607,            0.027745,           0.0091308,             0.64986,             0.25713,             0.28683,             0.11641,            0.057888,            0.022219,           0.0077958,           0.0094555,           0.0094555,           0.0094555
                  13,            0.061036,            0.028265,            0.008664,             0.61094,             0.26322,             0.27789,             0.10955,            0.058553,            0.023174,           0.0080507,            0.009406,            0.009406,            0.009406
                  14,            0.059862,            0.027678,           0.0082758,             0.59635,              0.2836,             0.28382,             0.12094,            0.056525,            0.021858,           0.0083319,           0.0093565,           0.0093565,           0.0093565
                  15,            0.058824,            0.028427,           0.0081051,             0.62286,             0.25745,             0.27309,             0.11842,            0.057223,            0.023201,           0.0090933,            0.009307,            0.009307,            0.009307
                  16,            0.058267,            0.027729,           0.0079197,             0.63108,             0.26263,             0.27057,             0.11536,            0.057446,             0.02488,           0.0083167,           0.0092575,           0.0092575,           0.0092575
                  17,            0.057729,            0.027603,           0.0077108,             0.59949,             0.27048,             0.26739,             0.11383,            0.056846,            0.023496,            0.007331,            0.009208,            0.009208,            0.009208
                  18,            0.056656,            0.027801,           0.0078431,             0.61838,             0.22985,             0.24605,             0.10315,            0.061741,             0.02706,           0.0092047,           0.0091585,           0.0091585,           0.0091585
                  19,            0.056043,            0.027612,           0.0074839,             0.62441,             0.22701,             0.23607,            0.098544,            0.061696,            0.028779,            0.010819,            0.009109,            0.009109,            0.009109
                  20,            0.055618,            0.026892,           0.0071495,             0.53099,             0.24633,             0.17895,            0.071053,            0.064146,            0.049813,            0.010833,           0.0090595,           0.0090595,           0.0090595
                  21,            0.055184,            0.027105,           0.0071717,             0.73398,             0.33593,              0.3783,             0.16227,            0.051989,            0.020579,           0.0057751,             0.00901,             0.00901,             0.00901
                  22,            0.054655,            0.026153,           0.0069976,             0.65012,             0.26827,             0.29494,             0.12077,            0.058435,            0.024899,           0.0086469,           0.0089605,           0.0089605,           0.0089605
                  23,            0.054008,            0.025965,           0.0069975,             0.72782,             0.31817,             0.35882,             0.15677,             0.05164,            0.020865,           0.0065551,            0.008911,            0.008911,            0.008911
                  24,            0.054018,            0.025672,           0.0066904,             0.73851,             0.35671,             0.40638,             0.18034,            0.049295,            0.020041,           0.0051637,           0.0088615,           0.0088615,           0.0088615
                  25,            0.053144,            0.025808,           0.0067964,             0.64128,             0.24881,             0.26888,             0.11529,             0.05899,            0.028379,           0.0090376,            0.008812,            0.008812,            0.008812
                  26,            0.052628,            0.025683,           0.0066072,             0.75019,             0.32733,             0.38894,             0.16995,            0.050814,            0.020907,           0.0063583,           0.0087625,           0.0087625,           0.0087625
                  27,            0.052651,            0.025384,           0.0066217,             0.71006,             0.29631,             0.33738,             0.15391,            0.052903,            0.022205,           0.0081681,            0.008713,            0.008713,            0.008713
                  28,            0.052014,            0.026289,           0.0065676,             0.73077,             0.34586,             0.39359,             0.17243,            0.050525,            0.020692,           0.0057004,           0.0086635,           0.0086635,           0.0086635
                  29,            0.051864,            0.025824,           0.0063797,              0.7841,             0.35977,             0.42764,             0.19432,            0.048218,            0.019522,           0.0047702,            0.008614,            0.008614,            0.008614
                  30,            0.051217,             0.02568,           0.0063105,             0.76527,             0.36989,             0.42523,             0.19363,            0.048272,            0.019641,           0.0050893,           0.0085645,           0.0085645,           0.0085645
                  31,            0.050734,            0.025069,           0.0060332,             0.75534,             0.37122,             0.42666,             0.19127,            0.048929,            0.019849,           0.0048587,            0.008515,            0.008515,            0.008515
                  32,            0.050755,            0.025321,           0.0059877,             0.76122,             0.37886,             0.42625,             0.19692,            0.048483,             0.01959,           0.0051004,           0.0084655,           0.0084655,           0.0084655
                  33,            0.050612,            0.025394,           0.0059158,             0.77226,             0.38636,             0.44331,             0.20393,            0.047879,            0.019563,           0.0048605,            0.008416,            0.008416,            0.008416
