               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1076,            0.042507,            0.036994,          0.00036655,            0.030799,          0.00025698,          6.3681e-05,             0.10272,              0.0316,            0.030445,            0.070588,            0.003268,            0.003268
                   1,             0.10419,            0.042437,            0.029182,          0.00049685,            0.041747,          0.00034852,          8.6018e-05,             0.10255,            0.032658,            0.026852,            0.040556,           0.0065686,           0.0065686
                   2,             0.10125,            0.039062,            0.026172,             0.50069,            0.043672,          0.00056185,          0.00014236,             0.10824,            0.045824,            0.025966,             0.01049,           0.0098363,           0.0098363
                   3,            0.094769,            0.038363,            0.023026,             0.50542,           0.0034889,           0.0020565,          0.00096674,             0.10985,            0.034393,            0.030143,           0.0098515,           0.0098515,           0.0098515
                   4,             0.08859,            0.035185,            0.019668,             0.34318,            0.063654,             0.03073,           0.0084806,            0.085673,            0.027162,            0.017877,           0.0098515,           0.0098515,           0.0098515
                   5,            0.083218,            0.034413,            0.017059,             0.32484,            0.071171,            0.041415,            0.011249,            0.084993,            0.026936,            0.017344,            0.009802,            0.009802,            0.009802
                   6,            0.079799,            0.033267,            0.016245,             0.47876,             0.11786,            0.097567,            0.032201,            0.075824,            0.030448,            0.013157,           0.0097525,           0.0097525,           0.0097525
                   7,            0.077078,            0.032442,            0.014317,             0.40869,            0.093812,            0.069072,            0.022444,            0.080201,            0.026127,            0.017023,            0.009703,            0.009703,            0.009703
                   8,            0.074452,            0.032584,            0.013142,              0.3147,            0.040502,            0.021344,           0.0066234,             0.09595,            0.034763,            0.033427,           0.0096535,           0.0096535,           0.0096535
                   9,            0.073478,            0.032186,            0.012915,             0.42605,             0.12923,            0.096831,            0.034364,            0.073263,            0.026338,            0.011551,            0.009604,            0.009604,            0.009604
                  10,            0.071351,            0.030906,            0.011826,             0.49651,             0.16341,             0.14637,            0.055062,            0.068737,            0.024873,            0.010991,           0.0095545,           0.0095545,           0.0095545
                  11,            0.070106,            0.030838,            0.011614,             0.50058,              0.2159,             0.17602,            0.063541,            0.066914,            0.025536,           0.0085744,            0.009505,            0.009505,            0.009505
                  12,            0.068558,            0.029698,            0.011228,              0.4973,             0.21658,              0.1875,            0.070522,            0.065804,            0.024471,           0.0095528,           0.0094555,           0.0094555,           0.0094555
                  13,             0.06787,            0.030246,            0.010555,              0.4782,             0.14763,             0.13268,            0.047209,            0.070879,            0.027665,             0.01347,            0.009406,            0.009406,            0.009406
                  14,            0.066763,            0.029834,            0.010333,             0.51898,             0.19859,             0.16579,            0.064988,            0.065845,            0.023539,            0.011761,           0.0093565,           0.0093565,           0.0093565
                  15,            0.065854,            0.030618,            0.010172,             0.56009,             0.22928,             0.22192,            0.085742,            0.062042,            0.022951,           0.0088089,            0.009307,            0.009307,            0.009307
                  16,            0.065448,            0.030027,            0.010066,             0.56046,              0.2335,             0.22876,            0.089132,            0.061884,            0.023833,           0.0082384,           0.0092575,           0.0092575,           0.0092575
                  17,            0.064735,            0.029841,           0.0097989,             0.61082,             0.23117,             0.24473,            0.095927,            0.059682,            0.022723,           0.0080294,            0.009208,            0.009208,            0.009208
                  18,            0.063622,            0.030086,           0.0097059,             0.60736,             0.21838,             0.23361,            0.089759,            0.060713,            0.022826,           0.0082909,           0.0091585,           0.0091585,           0.0091585
                  19,            0.063146,            0.029892,           0.0094328,              0.6141,             0.21842,             0.23109,            0.089067,            0.063234,            0.023123,           0.0097189,            0.009109,            0.009109,            0.009109
                  20,            0.062831,            0.029226,           0.0091343,              0.6399,             0.25295,              0.2663,             0.10274,            0.059406,             0.02299,           0.0077089,           0.0090595,           0.0090595,           0.0090595
                  21,            0.062375,            0.029614,           0.0091522,             0.60028,             0.26711,             0.27003,             0.10829,            0.058488,            0.022521,           0.0067436,             0.00901,             0.00901,             0.00901
                  22,            0.062109,             0.02864,           0.0090864,                0.63,              0.2588,             0.26948,             0.10985,            0.057583,            0.021894,             0.00711,           0.0089605,           0.0089605,           0.0089605
                  23,            0.061436,            0.028357,           0.0090397,             0.61929,             0.27378,             0.28993,             0.11785,            0.057051,            0.021959,           0.0065829,            0.008911,            0.008911,            0.008911
                  24,            0.061409,            0.028182,           0.0085845,             0.58631,              0.2479,             0.25738,             0.10325,            0.060045,            0.023263,            0.007938,           0.0088615,           0.0088615,           0.0088615
                  25,            0.060422,            0.028373,           0.0088574,             0.65525,             0.27052,             0.29549,             0.12097,            0.056265,            0.021744,           0.0067617,            0.008812,            0.008812,            0.008812
                  26,            0.059964,            0.028173,           0.0086493,             0.60005,             0.27838,             0.28322,             0.11384,            0.057689,            0.022044,           0.0075484,           0.0087625,           0.0087625,           0.0087625
                  27,            0.060169,            0.027941,           0.0085495,             0.60254,             0.27691,             0.28488,             0.11491,            0.056197,            0.021699,           0.0068448,            0.008713,            0.008713,            0.008713
                  28,            0.059441,            0.028889,           0.0085161,             0.65651,             0.28164,              0.2961,             0.12342,            0.055466,            0.021358,           0.0065613,           0.0086635,           0.0086635,           0.0086635
                  29,            0.059187,             0.02834,           0.0084113,             0.63963,             0.27844,             0.29714,             0.12362,            0.056605,            0.021967,           0.0068324,            0.008614,            0.008614,            0.008614
                  30,            0.058651,            0.028405,           0.0082592,             0.65474,             0.29208,             0.30809,             0.12396,             0.05558,            0.021454,           0.0064261,           0.0085645,           0.0085645,           0.0085645
                  31,            0.058413,            0.027755,            0.007914,             0.64987,             0.29911,             0.30341,             0.12329,            0.055138,            0.021498,           0.0066342,            0.008515,            0.008515,            0.008515
                  32,            0.058453,            0.028032,           0.0078331,             0.56506,             0.24347,             0.24354,            0.099262,            0.060482,            0.023547,           0.0093134,           0.0084655,           0.0084655,           0.0084655
                  33,            0.058237,            0.028253,           0.0079195,             0.66639,             0.28027,             0.30482,              0.1307,            0.054467,            0.021106,           0.0062315,            0.008416,            0.008416,            0.008416
                  34,            0.057795,            0.027839,           0.0078443,             0.67234,             0.31413,              0.3306,             0.13755,            0.054227,            0.020837,           0.0061009,           0.0083665,           0.0083665,           0.0083665
                  35,            0.057419,            0.027706,           0.0077108,             0.65566,             0.29893,              0.3186,             0.13544,            0.054296,             0.02129,           0.0061314,            0.008317,            0.008317,            0.008317
                  36,             0.05726,            0.027545,           0.0077029,             0.66297,              0.3062,             0.33152,             0.14119,            0.053751,            0.020876,           0.0056311,           0.0082675,           0.0082675,           0.0082675
                  37,            0.057013,            0.027584,           0.0075329,             0.67434,             0.29738,             0.31043,             0.13437,            0.053107,            0.020873,           0.0064056,            0.008218,            0.008218,            0.008218
                  38,            0.056378,            0.027435,           0.0075148,             0.67855,              0.3381,             0.35484,             0.14801,            0.053019,            0.020684,            0.005858,           0.0081685,           0.0081685,           0.0081685
                  39,            0.056918,            0.027335,           0.0074149,             0.66424,             0.30155,              0.3283,             0.13698,            0.054223,            0.020977,           0.0062355,            0.008119,            0.008119,            0.008119
                  40,            0.056805,            0.027183,           0.0076191,             0.68827,             0.32157,             0.34448,             0.14802,            0.052397,            0.020626,           0.0062376,           0.0080695,           0.0080695,           0.0080695
                  41,            0.056469,            0.026831,           0.0075644,             0.68657,             0.32009,             0.34975,              0.1498,            0.052522,            0.020679,           0.0056709,             0.00802,             0.00802,             0.00802
                  42,            0.055956,            0.027305,            0.007356,             0.67874,             0.29782,             0.32465,              0.1363,            0.053816,            0.021098,             0.00746,           0.0079705,           0.0079705,           0.0079705
                  43,            0.055979,            0.026942,           0.0071439,             0.69843,             0.32048,             0.34469,             0.14649,            0.052716,            0.020756,           0.0062026,            0.007921,            0.007921,            0.007921
                  44,            0.055392,            0.027288,            0.007193,             0.69302,             0.33303,             0.36075,             0.15551,            0.051145,            0.020364,           0.0056592,           0.0078715,           0.0078715,           0.0078715
                  45,             0.05518,            0.027221,           0.0070604,             0.67185,             0.31969,             0.33887,             0.14535,             0.05295,            0.020821,           0.0057149,            0.007822,            0.007822,            0.007822
                  46,            0.055442,            0.026622,           0.0071626,             0.68315,             0.32932,              0.3504,             0.15193,            0.052028,            0.020404,            0.005869,           0.0077725,           0.0077725,           0.0077725
                  47,            0.054783,            0.026549,           0.0068725,             0.68811,             0.30562,             0.34218,             0.14924,             0.05283,            0.020898,           0.0057072,            0.007723,            0.007723,            0.007723
                  48,            0.054848,             0.02651,            0.007073,             0.69615,             0.34138,             0.36632,             0.15384,              0.0516,            0.020426,           0.0055982,           0.0076735,           0.0076735,           0.0076735
                  49,             0.05437,            0.026264,            0.006841,             0.69613,             0.34331,             0.37461,             0.16251,            0.051073,            0.020357,           0.0052819,            0.007624,            0.007624,            0.007624
                  50,            0.054608,            0.027282,           0.0069384,             0.71131,             0.33929,             0.36198,             0.15093,            0.051466,            0.020401,           0.0057773,           0.0075745,           0.0075745,           0.0075745
                  51,             0.05429,            0.026309,           0.0068244,             0.70119,             0.34427,             0.37286,             0.16221,            0.051097,            0.020231,           0.0054527,            0.007525,            0.007525,            0.007525
                  52,            0.054198,            0.026414,           0.0066745,             0.70721,             0.34792,             0.37552,             0.16107,            0.051379,            0.020516,           0.0057797,           0.0074755,           0.0074755,           0.0074755
                  53,             0.05425,            0.026683,           0.0067949,             0.68668,             0.35288,             0.36963,             0.16012,            0.050619,            0.020069,           0.0054335,            0.007426,            0.007426,            0.007426
                  54,             0.05425,            0.026458,           0.0069205,             0.70162,             0.36189,             0.38138,             0.16835,            0.050503,            0.020338,           0.0055536,           0.0073765,           0.0073765,           0.0073765
                  55,            0.054236,            0.026527,           0.0064907,             0.71147,             0.34632,             0.38292,              0.1665,            0.050935,             0.02012,           0.0053162,            0.007327,            0.007327,            0.007327
                  56,            0.053708,            0.026895,           0.0065687,             0.72528,             0.35253,              0.3874,              0.1699,            0.050389,            0.020179,           0.0054237,           0.0072775,           0.0072775,           0.0072775
                  57,            0.053598,             0.02609,            0.006695,             0.72915,             0.35301,             0.39171,             0.16595,             0.05033,            0.020107,           0.0053094,            0.007228,            0.007228,            0.007228
                  58,            0.053167,            0.026569,           0.0066963,             0.70916,              0.3553,             0.38858,             0.16902,             0.05007,             0.01991,           0.0052337,           0.0071785,           0.0071785,           0.0071785
                  59,               0.053,            0.025887,           0.0065637,             0.69365,             0.35574,             0.37806,             0.16894,            0.050004,            0.020027,           0.0053183,            0.007129,            0.007129,            0.007129
                  60,            0.053367,            0.026437,           0.0065023,             0.73655,             0.34477,             0.38494,             0.17237,            0.049656,            0.019727,           0.0052808,           0.0070795,           0.0070795,           0.0070795
                  61,             0.05286,            0.026521,           0.0065558,             0.73592,             0.35656,             0.39506,             0.17359,            0.049917,            0.019965,           0.0053419,             0.00703,             0.00703,             0.00703
                  62,            0.053228,            0.026341,            0.006259,             0.70839,             0.36558,             0.39565,              0.1733,            0.049575,            0.019946,           0.0057768,           0.0069805,           0.0069805,           0.0069805
                  63,            0.052881,            0.025713,           0.0065895,             0.72546,             0.34982,             0.38926,             0.17058,            0.049478,            0.019843,           0.0054694,            0.006931,            0.006931,            0.006931
                  64,            0.052954,            0.025165,           0.0065721,             0.70568,             0.33841,             0.36943,             0.15769,            0.051037,            0.020721,           0.0062223,           0.0068815,           0.0068815,           0.0068815
                  65,            0.052375,            0.025886,           0.0063425,             0.72948,             0.35423,             0.39418,             0.17661,            0.049226,            0.019717,           0.0052558,            0.006832,            0.006832,            0.006832
                  66,            0.052245,            0.025309,           0.0061563,             0.72975,             0.36909,             0.39852,             0.17567,            0.049822,            0.019786,           0.0054472,           0.0067825,           0.0067825,           0.0067825
                  67,            0.052265,            0.025641,           0.0062746,             0.74032,             0.36302,              0.4038,             0.17741,             0.04956,             0.01987,           0.0051186,            0.006733,            0.006733,            0.006733
                  68,            0.052597,            0.026211,           0.0065556,             0.74359,             0.35877,             0.39531,             0.17381,            0.049648,            0.019768,           0.0055159,           0.0066835,           0.0066835,           0.0066835
                  69,            0.052323,             0.02637,           0.0064743,             0.73279,              0.3502,             0.38402,             0.16953,            0.050196,            0.020046,           0.0058951,            0.006634,            0.006634,            0.006634
                  70,            0.052246,            0.025275,           0.0061828,             0.72334,             0.36211,             0.40253,             0.17815,            0.049624,            0.019673,           0.0050699,           0.0065845,           0.0065845,           0.0065845
                  71,            0.051985,             0.02591,           0.0063463,             0.71733,             0.36742,             0.39995,             0.17807,            0.049046,             0.01966,           0.0052485,            0.006535,            0.006535,            0.006535
                  72,              0.0518,            0.025661,           0.0062003,              0.7441,             0.35896,             0.40687,             0.18287,             0.04848,            0.019522,           0.0048749,           0.0064855,           0.0064855,           0.0064855
                  73,            0.051981,            0.026076,           0.0062811,             0.71671,             0.37218,             0.40057,             0.17908,            0.048636,            0.019653,           0.0052519,            0.006436,            0.006436,            0.006436
                  74,              0.0519,            0.025586,           0.0060485,             0.72425,             0.35446,             0.39128,             0.17581,            0.049011,             0.01998,            0.005588,           0.0063865,           0.0063865,           0.0063865
                  75,            0.052007,            0.025389,           0.0061477,             0.72829,             0.36138,             0.40434,             0.17451,             0.04971,            0.019839,           0.0055177,            0.006337,            0.006337,            0.006337
