               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10965,            0.041354,            0.039504,          0.00039089,            0.032844,          0.00026947,          7.7521e-05,             0.10313,            0.031921,             0.03308,            0.070588,            0.003268,            0.003268
                   1,             0.10398,            0.042027,            0.029532,          0.00056844,            0.047762,          0.00037947,          9.7434e-05,             0.10302,            0.031816,            0.027418,            0.040556,           0.0065686,           0.0065686
                   2,            0.099467,            0.038513,            0.025169,             0.25188,            0.034649,           0.0022537,          0.00051266,             0.10436,            0.048181,            0.024747,             0.01049,           0.0098363,           0.0098363
                   3,             0.09245,            0.037182,             0.02075,             0.51438,            0.010581,           0.0039415,           0.0010706,             0.10404,             0.09489,            0.033158,           0.0098515,           0.0098515,           0.0098515
                   4,             0.08479,            0.034222,             0.01772,              0.5085,           0.0026468,          0.00052168,          0.00016727,             0.10563,            0.039846,            0.029694,           0.0098515,           0.0098515,           0.0098515
                   5,            0.080249,             0.03349,            0.015329,             0.51184,           0.0080545,           0.0040761,           0.0012097,             0.10374,            0.030148,            0.029166,            0.009802,            0.009802,            0.009802
                   6,            0.076212,            0.032334,            0.014295,             0.45889,            0.095242,            0.078365,            0.026478,            0.078676,             0.02793,             0.01581,           0.0097525,           0.0097525,           0.0097525
                   7,            0.073642,            0.031783,            0.012782,             0.45328,             0.13797,             0.11809,            0.037929,            0.076105,            0.025046,            0.012638,            0.009703,            0.009703,            0.009703
                   8,            0.071281,            0.031966,             0.01192,             0.51028,            0.083179,            0.060098,            0.019854,            0.088459,             0.02947,            0.018887,           0.0096535,           0.0096535,           0.0096535
                   9,            0.069939,            0.031452,            0.011512,             0.45035,             0.11202,            0.096548,            0.034118,            0.080702,            0.028184,            0.013989,            0.009604,            0.009604,            0.009604
                  10,            0.067668,            0.030229,            0.010431,             0.50574,            0.058759,            0.059911,             0.02213,            0.086618,            0.034881,            0.014946,           0.0095545,           0.0095545,           0.0095545
                  11,            0.066235,            0.029991,            0.010302,             0.39346,              0.1095,             0.07284,            0.023419,            0.084797,            0.029585,            0.020364,            0.009505,            0.009505,            0.009505
                  12,            0.064688,            0.028833,           0.0098893,             0.55263,             0.23516,             0.22768,            0.088864,             0.06259,            0.023094,           0.0085764,           0.0094555,           0.0094555,           0.0094555
                  13,            0.063645,            0.029199,           0.0093421,             0.45167,            0.092678,            0.074947,             0.02528,            0.084863,            0.037622,            0.017588,            0.009406,            0.009406,            0.009406
                  14,            0.062776,            0.028763,             0.00905,             0.58007,             0.24798,             0.24886,            0.096723,            0.059963,            0.022869,           0.0077427,           0.0093565,           0.0093565,           0.0093565
                  15,            0.061938,            0.029477,             0.00886,             0.58845,              0.2489,             0.26185,             0.10385,            0.059581,            0.023511,           0.0073624,            0.009307,            0.009307,            0.009307
                  16,            0.061289,            0.028754,           0.0087153,              0.6078,             0.25594,              0.2489,            0.089585,            0.063943,            0.023304,           0.0083846,           0.0092575,           0.0092575,           0.0092575
                  17,            0.060588,            0.028639,            0.008438,             0.55982,             0.23814,              0.2311,            0.091485,            0.060519,            0.025966,            0.007963,            0.009208,            0.009208,            0.009208
                  18,             0.05997,             0.02889,           0.0085343,             0.46747,             0.13638,              0.1033,            0.033552,            0.079081,            0.032661,            0.015208,           0.0091585,           0.0091585,           0.0091585
                  19,            0.059056,            0.028709,           0.0082516,             0.57752,             0.22388,             0.21119,            0.077521,            0.068409,              0.0274,            0.011707,            0.009109,            0.009109,            0.009109
                  20,            0.058767,            0.028007,           0.0079294,             0.65483,             0.32021,             0.33214,             0.14105,            0.054415,            0.021189,           0.0070287,           0.0090595,           0.0090595,           0.0090595
                  21,            0.058186,            0.028258,           0.0077645,             0.67237,             0.30366,             0.32188,             0.13654,             0.05457,            0.021165,           0.0061084,             0.00901,             0.00901,             0.00901
                  22,            0.057935,            0.027369,           0.0077153,             0.56537,             0.16477,             0.16633,            0.063886,            0.071581,            0.032734,            0.012813,           0.0089605,           0.0089605,           0.0089605
                  23,            0.057241,            0.027059,           0.0076901,             0.65742,             0.28371,             0.30119,             0.12443,            0.056528,            0.023971,            0.008121,            0.008911,            0.008911,            0.008911
                  24,            0.057099,            0.026868,           0.0073517,             0.70867,             0.29347,             0.32802,             0.14057,            0.054251,            0.021695,           0.0071683,           0.0088615,           0.0088615,           0.0088615
                  25,            0.056519,            0.027096,           0.0075227,             0.64733,             0.27611,             0.29514,             0.12362,            0.057084,            0.022033,           0.0078496,            0.008812,            0.008812,            0.008812
                  26,            0.055482,            0.026751,           0.0072119,             0.70014,             0.33886,             0.37306,             0.16024,              0.0518,            0.020787,             0.00563,           0.0087625,           0.0087625,           0.0087625
                  27,            0.055748,            0.026499,           0.0071865,             0.70362,             0.33013,             0.36261,             0.14966,            0.053844,            0.021226,           0.0059734,            0.008713,            0.008713,            0.008713
                  28,            0.055305,            0.027356,           0.0071487,              0.6888,             0.32802,             0.36455,              0.1571,            0.052307,             0.02082,           0.0055916,           0.0086635,           0.0086635,           0.0086635
                  29,            0.054753,            0.026849,           0.0070106,             0.68567,             0.29522,             0.32917,             0.14414,            0.052844,            0.021278,           0.0063259,            0.008614,            0.008614,            0.008614
                  30,            0.054257,            0.026973,           0.0069234,             0.66213,             0.28059,             0.30623,             0.13402,            0.054691,            0.023748,           0.0071249,           0.0085645,           0.0085645,           0.0085645
                  31,             0.05399,            0.026329,           0.0067756,             0.75063,             0.31999,             0.37228,             0.15719,            0.051997,            0.021071,            0.005746,            0.008515,            0.008515,            0.008515
                  32,            0.054003,            0.026486,           0.0066616,              0.7472,             0.35738,              0.4007,             0.16701,            0.051256,             0.02045,           0.0056215,           0.0084655,           0.0084655,           0.0084655
                  33,            0.053684,            0.026597,           0.0065862,             0.71371,             0.33863,             0.37322,             0.16308,            0.051394,             0.02102,           0.0056742,            0.008416,            0.008416,            0.008416
                  34,            0.053322,            0.026301,           0.0065552,             0.61922,             0.21505,              0.2317,            0.094297,            0.062231,            0.029694,            0.009744,           0.0083665,           0.0083665,           0.0083665
                  35,            0.053179,            0.026176,           0.0064397,             0.68184,             0.31627,             0.34701,             0.14877,            0.053036,            0.022169,           0.0068082,            0.008317,            0.008317,            0.008317
                  36,            0.052846,            0.026041,            0.006469,              0.7258,             0.34497,             0.37515,             0.16542,            0.050808,             0.02065,           0.0055923,           0.0082675,           0.0082675,           0.0082675
                  37,             0.05254,            0.026011,           0.0062637,             0.72711,             0.37019,             0.40111,             0.17692,            0.049738,            0.020025,           0.0050203,            0.008218,            0.008218,            0.008218
                  38,            0.051945,            0.025912,           0.0062986,             0.74423,             0.34321,             0.38995,             0.16833,            0.051909,             0.02188,           0.0057491,           0.0081685,           0.0081685,           0.0081685
                  39,            0.052109,            0.025723,           0.0061071,             0.74121,             0.34745,             0.38854,             0.16823,            0.050783,            0.020861,           0.0053409,            0.008119,            0.008119,            0.008119
                  40,            0.052021,            0.025521,           0.0063527,             0.75972,             0.35496,             0.40636,              0.1827,            0.050184,            0.020654,           0.0052857,           0.0080695,           0.0080695,           0.0080695
                  41,            0.051786,            0.025079,           0.0062166,             0.78129,             0.33072,             0.39678,             0.17863,            0.049596,            0.020263,           0.0058183,             0.00802,             0.00802,             0.00802
                  42,            0.051548,            0.025711,           0.0061207,              0.7466,             0.35536,             0.39937,             0.18012,            0.049184,            0.019949,           0.0055179,           0.0079705,           0.0079705,           0.0079705
                  43,            0.051371,            0.025252,           0.0058515,             0.73682,              0.3761,             0.41701,             0.18465,            0.048478,            0.019777,            0.005648,            0.007921,            0.007921,            0.007921
                  44,            0.051042,            0.025635,           0.0060123,             0.74419,              0.3687,             0.41362,             0.18663,             0.04842,            0.020211,           0.0051518,           0.0078715,           0.0078715,           0.0078715
                  45,            0.050698,            0.025453,           0.0058311,             0.77278,             0.37215,             0.42566,              0.1899,            0.048281,             0.01964,            0.004879,            0.007822,            0.007822,            0.007822
                  46,            0.050954,            0.024946,           0.0059861,             0.76417,             0.35991,             0.41103,             0.18455,            0.048912,            0.019818,           0.0051263,           0.0077725,           0.0077725,           0.0077725
                  47,             0.05003,            0.024753,            0.005649,              0.7775,             0.36186,             0.42056,             0.18824,            0.048382,            0.019686,           0.0052751,            0.007723,            0.007723,            0.007723
                  48,             0.05044,            0.024809,           0.0058217,              0.7801,             0.36026,             0.41608,             0.18216,            0.050324,            0.020993,           0.0057849,           0.0076735,           0.0076735,           0.0076735
                  49,            0.049997,            0.024554,           0.0057359,             0.76696,             0.37893,              0.4292,             0.19451,            0.047391,            0.019267,           0.0051891,            0.007624,            0.007624,            0.007624
                  50,             0.04972,            0.025443,           0.0057706,             0.77561,              0.3965,             0.44787,              0.2023,            0.046837,            0.019263,           0.0049428,           0.0075745,           0.0075745,           0.0075745
                  51,            0.049954,            0.024515,             0.00574,             0.77534,             0.39611,             0.44733,             0.20176,             0.04775,            0.019604,            0.004969,            0.007525,            0.007525,            0.007525
                  52,            0.049541,            0.024541,           0.0054507,             0.76987,             0.37751,              0.4345,             0.20008,            0.047767,            0.019293,            0.004845,           0.0074755,           0.0074755,           0.0074755
                  53,            0.049501,            0.024916,           0.0055127,             0.76133,             0.38148,             0.44139,             0.19838,            0.047475,            0.019686,           0.0050314,            0.007426,            0.007426,            0.007426
                  54,            0.049492,            0.024575,           0.0055826,             0.77642,             0.38129,             0.44562,             0.19835,            0.047436,            0.019331,           0.0048212,           0.0073765,           0.0073765,           0.0073765
                  55,            0.049566,            0.024641,           0.0054397,             0.74578,             0.35512,             0.40108,             0.17689,            0.049942,            0.021355,           0.0058927,            0.007327,            0.007327,            0.007327
                  56,            0.049084,            0.024991,           0.0054021,              0.7776,             0.40109,             0.46453,             0.21346,            0.046582,            0.019294,           0.0045546,           0.0072775,           0.0072775,           0.0072775
                  57,               0.049,             0.02442,           0.0056689,             0.79167,             0.39647,              0.4576,             0.20974,            0.046357,             0.01911,           0.0047379,            0.007228,            0.007228,            0.007228
                  58,            0.048602,            0.024768,           0.0055735,             0.76386,             0.39687,             0.44725,              0.2052,            0.046867,            0.019257,           0.0048259,           0.0071785,           0.0071785,           0.0071785
                  59,            0.048502,            0.024126,           0.0054988,             0.77634,             0.38858,             0.44436,             0.20549,            0.046778,            0.019676,            0.004978,            0.007129,            0.007129,            0.007129
                  60,            0.048702,            0.024643,           0.0055487,             0.77892,             0.39623,              0.4515,             0.21216,            0.046501,            0.018986,           0.0055038,           0.0070795,           0.0070795,           0.0070795
                  61,            0.048173,            0.024671,           0.0053666,             0.78789,             0.40882,             0.47269,             0.21832,            0.045625,            0.018822,           0.0044186,             0.00703,             0.00703,             0.00703
                  62,            0.048467,            0.024482,           0.0051583,             0.77201,             0.41134,             0.46738,             0.21903,            0.045783,            0.018923,           0.0051893,           0.0069805,           0.0069805,           0.0069805
                  63,            0.048181,            0.023832,           0.0054648,             0.76711,             0.38362,             0.44365,             0.20182,            0.047781,            0.020398,           0.0056331,            0.006931,            0.006931,            0.006931
                  64,            0.048304,            0.023427,            0.005465,             0.78759,             0.39845,             0.46592,              0.2129,            0.046447,            0.019527,           0.0050311,           0.0068815,           0.0068815,           0.0068815
                  65,            0.047687,            0.024045,           0.0051784,              0.7818,             0.39494,             0.45791,             0.21591,            0.045899,            0.018932,           0.0047887,            0.006832,            0.006832,            0.006832
                  66,            0.047333,             0.02343,           0.0051102,             0.80438,              0.4035,             0.48588,             0.22679,            0.045726,            0.018795,           0.0043325,           0.0067825,           0.0067825,           0.0067825
                  67,             0.04733,             0.02379,           0.0051992,             0.77697,             0.39143,             0.45049,             0.20739,            0.047128,            0.020029,           0.0050436,            0.006733,            0.006733,            0.006733
                  68,             0.04777,            0.024309,           0.0053687,             0.79268,             0.39867,             0.47045,              0.2216,            0.045686,            0.018925,           0.0050245,           0.0066835,           0.0066835,           0.0066835
                  69,            0.047704,            0.024443,           0.0053328,              0.7924,              0.4016,             0.48799,             0.23124,            0.045381,            0.018827,           0.0048557,            0.006634,            0.006634,            0.006634
                  70,            0.047596,             0.02346,           0.0049936,             0.78762,             0.43188,             0.51062,             0.23722,             0.04514,            0.018774,           0.0041328,           0.0065845,           0.0065845,           0.0065845
                  71,            0.047065,             0.02392,           0.0052383,             0.80231,             0.39372,              0.4692,             0.22504,            0.045512,            0.018899,           0.0045414,            0.006535,            0.006535,            0.006535
                  72,            0.046924,            0.023749,           0.0051393,             0.79613,             0.41688,             0.50137,             0.24104,            0.045072,            0.018581,           0.0043848,           0.0064855,           0.0064855,           0.0064855
                  73,            0.047225,             0.02418,           0.0051718,               0.793,             0.41647,             0.49778,             0.23918,            0.044817,            0.018615,           0.0042055,            0.006436,            0.006436,            0.006436
                  74,            0.046948,            0.023614,           0.0048737,             0.78748,              0.4223,             0.50579,             0.24065,            0.044589,            0.018512,           0.0044627,           0.0063865,           0.0063865,           0.0063865
                  75,            0.047182,            0.023488,           0.0049805,             0.81338,             0.41344,             0.51058,             0.24855,            0.045244,            0.018552,           0.0042305,            0.006337,            0.006337,            0.006337
                  76,            0.046817,            0.023617,           0.0049585,             0.79741,             0.42182,             0.51091,             0.24031,            0.044802,            0.018526,           0.0040661,           0.0062875,           0.0062875,           0.0062875
                  77,            0.046268,            0.023419,           0.0049561,             0.79855,             0.42324,             0.51047,             0.24127,            0.044364,            0.018444,           0.0048147,            0.006238,            0.006238,            0.006238
                  78,             0.04646,            0.023505,            0.004846,             0.82337,             0.40247,             0.51107,             0.24218,            0.045323,            0.018853,           0.0044388,           0.0061885,           0.0061885,           0.0061885
                  79,            0.046491,            0.023358,           0.0049395,             0.78815,             0.42163,             0.51083,             0.24267,            0.044519,            0.018431,           0.0037911,            0.006139,            0.006139,            0.006139
                  80,            0.046158,            0.023459,            0.004791,              0.8085,             0.42076,             0.52639,             0.24733,            0.044682,            0.018577,           0.0050274,           0.0060895,           0.0060895,           0.0060895
                  81,            0.045921,            0.023027,           0.0047022,              0.8145,             0.41317,             0.51553,             0.24446,            0.044124,            0.018415,           0.0041788,             0.00604,             0.00604,             0.00604
                  82,            0.046605,            0.023347,           0.0048559,             0.80249,             0.42127,             0.52854,             0.25112,            0.044574,            0.018485,           0.0041496,           0.0059905,           0.0059905,           0.0059905
                  83,            0.045939,            0.022875,           0.0047207,             0.80621,             0.42672,             0.54682,             0.25409,            0.044562,            0.018472,           0.0041874,            0.005941,            0.005941,            0.005941
                  84,            0.046284,            0.023888,           0.0049005,              0.7965,             0.43775,             0.53258,              0.2507,            0.044123,            0.018286,           0.0040793,           0.0058915,           0.0058915,           0.0058915
                  85,            0.045637,            0.023586,           0.0048346,              0.8155,             0.43074,             0.53385,             0.25611,            0.044261,            0.018305,            0.004365,            0.005842,            0.005842,            0.005842
                  86,            0.045888,            0.022731,            0.004748,             0.82116,             0.43127,             0.54774,             0.25193,            0.044302,            0.018491,           0.0041649,           0.0057925,           0.0057925,           0.0057925
                  87,            0.045511,            0.022498,           0.0046907,             0.82325,             0.43905,             0.55242,             0.26407,               0.044,            0.018168,           0.0046612,            0.005743,            0.005743,            0.005743
                  88,            0.046046,            0.022995,           0.0047853,             0.81031,             0.43758,             0.55777,             0.27287,            0.043994,            0.018291,           0.0041497,           0.0056935,           0.0056935,           0.0056935
                  89,            0.045152,            0.022932,           0.0046121,             0.68368,             0.51756,             0.56861,             0.27877,            0.043958,            0.018171,           0.0040797,            0.005644,            0.005644,            0.005644
                  90,            0.045368,            0.022992,           0.0045754,             0.71997,             0.51029,             0.56518,              0.2731,            0.043712,            0.018247,           0.0045557,           0.0055945,           0.0055945,           0.0055945
                  91,            0.045377,            0.023432,           0.0045453,             0.68957,             0.53652,             0.57463,             0.28122,            0.043739,            0.018207,           0.0043079,            0.005545,            0.005545,            0.005545
                  92,            0.044897,            0.022966,           0.0045376,             0.79427,             0.47629,             0.55402,              0.2665,            0.044077,             0.01826,           0.0041547,           0.0054955,           0.0054955,           0.0054955
                  93,            0.045143,            0.022715,           0.0045581,             0.75299,             0.44587,             0.54026,             0.26565,            0.043606,            0.018391,           0.0041749,            0.005446,            0.005446,            0.005446
                  94,            0.044983,             0.02229,            0.004588,             0.81887,              0.4745,             0.58342,              0.2851,            0.043507,            0.018217,           0.0042273,           0.0053965,           0.0053965,           0.0053965
                  95,            0.044877,            0.022799,            0.004431,             0.77415,             0.50094,             0.55905,             0.27645,            0.043784,            0.018302,           0.0044418,            0.005347,            0.005347,            0.005347
                  96,            0.044904,            0.022431,           0.0042704,              0.8013,             0.49919,             0.57905,             0.28521,            0.043269,            0.017925,           0.0041798,           0.0052975,           0.0052975,           0.0052975
                  97,            0.044985,             0.02284,           0.0043992,             0.80227,             0.49002,             0.58574,             0.28957,            0.043459,            0.018033,           0.0039586,            0.005248,            0.005248,            0.005248
                  98,            0.044773,            0.022652,           0.0042995,             0.75121,             0.48577,             0.56662,             0.27836,            0.043562,             0.01811,           0.0040683,           0.0051985,           0.0051985,           0.0051985
                  99,            0.044831,            0.022961,           0.0043999,             0.66998,             0.52416,              0.5658,             0.27949,            0.043401,            0.018236,           0.0043591,            0.005149,            0.005149,            0.005149
                 100,            0.044606,            0.022786,           0.0042825,             0.72754,             0.50105,               0.566,             0.28285,            0.043649,            0.018211,            0.004257,           0.0050995,           0.0050995,           0.0050995
                 101,            0.044845,              0.0224,           0.0043542,             0.75639,              0.5145,             0.58246,              0.2904,            0.043385,            0.018118,           0.0042294,             0.00505,             0.00505,             0.00505
                 102,            0.044468,            0.022311,           0.0044397,             0.77834,             0.47534,             0.58543,             0.28361,            0.043077,            0.017956,           0.0042545,           0.0050005,           0.0050005,           0.0050005
                 103,            0.044535,            0.022734,           0.0041561,             0.68225,             0.56801,             0.59056,              0.2943,            0.043638,            0.018257,           0.0039516,            0.004951,            0.004951,            0.004951
                 104,            0.044528,            0.022712,           0.0042167,             0.78175,             0.52465,             0.59894,             0.29723,            0.042717,            0.017966,           0.0037124,           0.0049015,           0.0049015,           0.0049015
                 105,            0.044184,            0.022646,           0.0042111,              0.7621,             0.52458,             0.60476,             0.29687,             0.04288,            0.017942,           0.0037602,            0.004852,            0.004852,            0.004852
                 106,            0.044022,            0.022635,           0.0041152,             0.78858,             0.53304,              0.6025,              0.2893,            0.042946,            0.017931,           0.0042615,           0.0048025,           0.0048025,           0.0048025
                 107,            0.044074,            0.022569,           0.0041129,             0.75143,             0.51508,             0.57962,             0.28832,            0.042775,            0.017962,           0.0036546,            0.004753,            0.004753,            0.004753
                 108,            0.044088,             0.02221,           0.0039731,             0.70693,             0.50913,             0.58582,             0.28881,             0.04267,            0.017908,           0.0040136,           0.0047035,           0.0047035,           0.0047035
                 109,            0.043579,            0.022016,           0.0040297,             0.72741,             0.51271,             0.57774,             0.28196,            0.043065,            0.018149,           0.0042284,            0.004654,            0.004654,            0.004654
                 110,            0.043856,             0.02196,           0.0040461,             0.81511,             0.53168,             0.60528,             0.30222,            0.042848,            0.017976,           0.0035762,           0.0046045,           0.0046045,           0.0046045
                 111,            0.043752,            0.021861,           0.0038719,             0.72129,             0.50868,             0.58365,             0.28709,            0.043292,            0.018086,           0.0038618,            0.004555,            0.004555,            0.004555
                 112,            0.044094,            0.022494,           0.0040876,             0.73668,             0.54424,             0.60556,             0.30792,            0.042524,            0.017843,           0.0036161,           0.0045055,           0.0045055,           0.0045055
                 113,            0.043317,            0.022191,           0.0038529,             0.72737,             0.56207,             0.60576,             0.29477,            0.042417,             0.01791,           0.0037739,            0.004456,            0.004456,            0.004456
                 114,            0.043105,            0.021915,           0.0038562,             0.67943,             0.59436,             0.62157,             0.30087,            0.042518,            0.017895,           0.0035483,           0.0044065,           0.0044065,           0.0044065
                 115,            0.043216,            0.022077,           0.0038447,             0.75392,             0.56107,             0.62398,             0.30588,            0.042516,            0.017899,           0.0036662,            0.004357,            0.004357,            0.004357
                 116,            0.043518,            0.021961,           0.0038978,             0.76781,             0.52464,             0.60207,             0.29636,            0.042507,            0.017956,           0.0035432,           0.0043075,           0.0043075,           0.0043075
                 117,            0.043498,            0.022234,           0.0039548,             0.78057,             0.54763,             0.61809,             0.30702,            0.042596,            0.017806,           0.0035545,            0.004258,            0.004258,            0.004258
                 118,            0.043124,            0.021906,           0.0038963,             0.75576,             0.56326,             0.62239,             0.30702,            0.042459,             0.01789,           0.0038285,           0.0042085,           0.0042085,           0.0042085
                 119,            0.043177,            0.021566,           0.0037212,             0.77469,             0.52607,             0.61977,             0.31627,            0.042421,             0.01781,           0.0037473,            0.004159,            0.004159,            0.004159
                 120,            0.043155,             0.02212,           0.0038536,             0.63119,             0.58326,             0.63082,             0.30658,            0.042542,            0.017804,           0.0038999,           0.0041095,           0.0041095,           0.0041095
                 121,            0.043273,            0.022075,           0.0038599,             0.79941,             0.56794,             0.63165,              0.3123,            0.042362,            0.017788,           0.0036943,             0.00406,             0.00406,             0.00406
                 122,            0.042664,            0.021489,           0.0037924,             0.79705,             0.55571,             0.63187,             0.31997,            0.042427,            0.017792,           0.0038023,           0.0040105,           0.0040105,           0.0040105
                 123,             0.04276,            0.021946,           0.0037822,             0.77609,              0.5536,             0.62598,             0.31588,            0.042605,             0.01789,           0.0037675,            0.003961,            0.003961,            0.003961
                 124,            0.043241,            0.021988,           0.0038926,             0.79987,             0.53865,             0.63077,             0.31753,            0.042629,            0.017845,           0.0036252,           0.0039115,           0.0039115,           0.0039115
                 125,            0.043008,            0.022109,           0.0038645,             0.77974,             0.54025,             0.63029,             0.31195,             0.04249,             0.01785,           0.0036839,            0.003862,            0.003862,            0.003862
                 126,            0.042513,            0.022198,           0.0037836,              0.8106,             0.56116,             0.62162,             0.31429,             0.04221,             0.01777,           0.0037175,           0.0038125,           0.0038125,           0.0038125
                 127,            0.042542,            0.021834,           0.0037786,             0.75445,             0.56881,             0.63458,             0.32216,            0.042142,            0.017664,           0.0035948,            0.003763,            0.003763,            0.003763
                 128,            0.042392,            0.021844,           0.0036301,             0.71941,             0.55304,             0.60999,             0.30712,            0.042429,            0.017859,           0.0035386,           0.0037135,           0.0037135,           0.0037135
                 129,             0.04219,            0.021797,           0.0036266,             0.81499,             0.53387,             0.63117,             0.31654,            0.042361,             0.01773,           0.0034537,            0.003664,            0.003664,            0.003664
                 130,            0.042455,            0.021301,           0.0035458,             0.78461,             0.55436,             0.62737,             0.31854,            0.042371,            0.017741,           0.0035331,           0.0036145,           0.0036145,           0.0036145
                 131,            0.041977,             0.02147,           0.0035782,              0.8018,             0.54614,              0.6299,             0.31882,            0.042147,             0.01781,           0.0034003,            0.003565,            0.003565,            0.003565
                 132,            0.042322,            0.021466,           0.0034599,             0.73098,             0.58494,             0.63271,             0.32501,            0.042136,            0.017714,           0.0035295,           0.0035155,           0.0035155,           0.0035155
                 133,            0.042464,            0.021523,           0.0036056,             0.74799,              0.5621,             0.61867,             0.30748,            0.042335,             0.01785,            0.003601,            0.003466,            0.003466,            0.003466
                 134,            0.041855,            0.021459,           0.0035522,              0.7328,             0.56918,             0.62883,             0.32249,            0.041927,            0.017715,           0.0035823,           0.0034165,           0.0034165,           0.0034165
                 135,            0.041795,            0.021625,           0.0034827,              0.7728,             0.54403,             0.63014,             0.31918,            0.042027,            0.017807,           0.0035887,            0.003367,            0.003367,            0.003367
                 136,            0.042043,            0.021574,           0.0036342,              0.7536,             0.55401,             0.63059,             0.32361,            0.041844,            0.017664,           0.0036136,           0.0033175,           0.0033175,           0.0033175
                 137,             0.04159,            0.020979,           0.0035627,             0.75923,             0.54349,             0.63073,             0.31844,            0.042014,            0.017669,           0.0037292,            0.003268,            0.003268,            0.003268
                 138,            0.041717,            0.020942,           0.0034166,             0.75992,             0.54626,             0.62847,             0.32422,            0.041952,            0.017715,           0.0036518,           0.0032185,           0.0032185,           0.0032185
                 139,            0.042046,            0.021594,            0.003595,             0.78591,             0.54223,             0.63232,             0.32168,            0.041962,            0.017751,           0.0035943,            0.003169,            0.003169,            0.003169
                 140,            0.041799,            0.021485,           0.0034381,             0.77994,             0.54891,             0.63503,             0.32409,            0.041835,            0.017711,           0.0035364,           0.0031195,           0.0031195,           0.0031195
                 141,            0.041937,            0.021135,           0.0035436,             0.80789,             0.52733,             0.63085,             0.32004,            0.042125,            0.017756,            0.003658,             0.00307,             0.00307,             0.00307
                 142,            0.042106,            0.021255,           0.0034961,             0.78374,             0.54603,             0.62989,             0.32717,             0.04186,            0.017732,           0.0036632,           0.0030205,           0.0030205,           0.0030205
