               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1154,            0.039066,            0.044181,          0.00010705,           0.0060135,          5.4331e-05,          1.2479e-05,             0.11115,            0.030056,            0.043726,            0.070588,            0.003268,            0.003268
                   1,             0.10952,            0.041703,            0.041645,          0.00039519,            0.033205,          0.00027217,          7.9578e-05,             0.10362,            0.032582,            0.038082,            0.040556,           0.0065686,           0.0065686
                   2,             0.10453,            0.041686,             0.02955,          0.00052405,            0.044033,          0.00037206,          9.5426e-05,             0.10363,            0.032901,            0.025541,             0.01049,           0.0098363,           0.0098363
                   3,             0.10058,             0.03946,            0.025073,          0.00060567,             0.05089,             0.00038,          9.4357e-05,              0.1027,            0.058842,            0.024424,           0.0098515,           0.0098515,           0.0098515
                   4,             0.09215,            0.036542,             0.02107,           0.0066555,            0.013551,           0.0037326,           0.0013464,             0.10752,            0.053612,            0.055767,           0.0098515,           0.0098515,           0.0098515
                   5,            0.083696,            0.034546,            0.016605,             0.53549,            0.012753,            0.007989,           0.0021087,            0.098533,            0.035327,            0.024122,            0.009802,            0.009802,            0.009802
                   6,            0.077092,            0.032602,            0.014495,             0.58119,            0.017306,            0.012286,           0.0042039,            0.099417,            0.032103,            0.021198,           0.0097525,           0.0097525,           0.0097525
                   7,            0.072553,            0.031204,            0.012418,             0.55261,           0.0045412,           0.0034618,           0.0011248,             0.10541,            0.038771,            0.037638,            0.009703,            0.009703,            0.009703
                   8,            0.069518,            0.031002,             0.01115,             0.48621,             0.17183,             0.15028,            0.057081,            0.067787,            0.027751,           0.0097702,           0.0096535,           0.0096535,           0.0096535
                   9,            0.067157,            0.030382,            0.010563,             0.48782,             0.17401,             0.14574,             0.05473,            0.069935,            0.027381,            0.011622,            0.009604,            0.009604,            0.009604
                  10,            0.064612,             0.02889,           0.0095481,             0.40886,            0.019564,            0.022035,            0.007718,            0.098305,            0.042467,            0.025708,           0.0095545,           0.0095545,           0.0095545
                  11,            0.063282,            0.028613,           0.0092305,             0.60362,             0.20439,             0.21183,            0.084936,            0.064477,             0.02641,            0.010367,            0.009505,            0.009505,            0.009505
                  12,            0.061285,            0.027418,           0.0088768,             0.61302,             0.16483,             0.17943,            0.073584,            0.067634,            0.029961,             0.01121,           0.0094555,           0.0094555,           0.0094555
                  13,            0.060389,            0.027784,           0.0083709,             0.54268,             0.19397,             0.18077,             0.07135,            0.066249,            0.030096,            0.013977,            0.009406,            0.009406,            0.009406
                  14,            0.059048,            0.027247,           0.0080604,             0.44388,             0.11979,            0.083101,             0.03091,            0.083161,            0.040331,            0.022353,           0.0093565,           0.0093565,           0.0093565
                  15,            0.057587,            0.027863,           0.0077601,             0.54961,             0.17874,             0.16947,            0.072503,            0.070649,            0.026502,             0.01856,            0.009307,            0.009307,            0.009307
                  16,            0.056641,             0.02702,           0.0075958,             0.66835,             0.30815,             0.33193,             0.14156,            0.054431,            0.022025,           0.0065675,           0.0092575,           0.0092575,           0.0092575
                  17,            0.056307,            0.026802,           0.0073101,             0.68893,             0.31124,             0.33934,             0.14694,            0.053253,            0.021245,           0.0071547,            0.009208,            0.009208,            0.009208
                  18,            0.055091,            0.026954,           0.0074193,             0.54486,             0.15808,             0.15726,            0.056913,            0.073893,            0.032163,            0.027734,           0.0091585,           0.0091585,           0.0091585
                  19,            0.054524,            0.026883,           0.0071323,             0.67045,             0.27252,             0.30332,             0.13096,            0.055402,            0.024579,           0.0069042,            0.009109,            0.009109,            0.009109
                  20,            0.053963,            0.026118,           0.0068287,             0.61911,             0.24112,             0.24513,             0.10379,            0.061371,             0.02671,             0.01302,           0.0090595,           0.0090595,           0.0090595
                  21,            0.053284,            0.026273,            0.006698,             0.58324,             0.21635,             0.21573,            0.092022,            0.065865,            0.032274,            0.012733,             0.00901,             0.00901,             0.00901
                  22,            0.052818,            0.025494,           0.0065912,             0.70899,             0.29084,             0.34984,             0.15061,            0.057238,            0.023737,            0.009794,           0.0089605,           0.0089605,           0.0089605
                  23,            0.052535,            0.025184,           0.0065483,             0.71715,             0.28789,             0.32359,             0.14084,            0.054422,             0.02344,           0.0079465,            0.008911,            0.008911,            0.008911
                  24,            0.052398,            0.024899,           0.0061633,             0.73021,             0.30646,             0.36292,             0.16671,             0.05254,            0.023707,           0.0069559,           0.0088615,           0.0088615,           0.0088615
                  25,            0.051113,            0.024996,           0.0064092,             0.73769,             0.33263,             0.39705,             0.17728,            0.050863,            0.020911,           0.0059761,            0.008812,            0.008812,            0.008812
                  26,            0.050549,            0.024725,           0.0061516,             0.75431,             0.35129,             0.40895,             0.18505,            0.048867,            0.019984,           0.0055299,           0.0087625,           0.0087625,           0.0087625
                  27,            0.051009,            0.024556,           0.0062073,             0.71609,             0.33725,             0.41263,              0.1896,            0.050719,            0.021961,           0.0061435,            0.008713,            0.008713,            0.008713
                  28,            0.050112,            0.025258,           0.0061289,              0.7654,             0.36277,             0.43739,             0.20399,            0.048625,            0.019509,           0.0053366,           0.0086635,           0.0086635,           0.0086635
                  29,            0.050058,            0.024796,           0.0059531,             0.77415,             0.38441,             0.47423,             0.22691,            0.047343,            0.019502,           0.0049413,            0.008614,            0.008614,            0.008614
                  30,            0.049205,             0.02475,           0.0058917,             0.78023,             0.36858,             0.45148,             0.20736,            0.049122,            0.020371,           0.0053928,           0.0085645,           0.0085645,           0.0085645
